[2339, 1656]
[paragraph, [284.0, 194.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 230.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 266.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 302.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 338.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 374.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 410.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 446.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 482.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 518.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 554.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 590.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 626.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 662.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 698.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 734.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 770.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [284.0, 806.0, 1178.0, 36.0], shoonya_1sTOREUHQIOENH, 5731552]
[paragraph, [292.0, 851.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 887.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 923.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 959.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 995.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 1031.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 1067.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 1103.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 1139.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [292.0, 1175.0, 1172.0, 36.0], shoonya_0sCZKYWNTEPVY9, 5731552]
[paragraph, [285.0, 1228.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1264.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1300.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1336.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1372.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1408.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1444.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1480.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1516.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1552.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1588.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1624.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
[paragraph, [285.0, 1660.0, 1181.0, 36.0], shoonya_2sINT074OGGN78, 5731552]
