[2200, 1700]
[paragraph, [293.0, 69.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 105.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 141.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 177.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 213.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 249.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 285.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 321.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 357.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 393.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 429.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [293.0, 465.0, 1104.0, 36.0], shoonya_1sHDXDAS8OQ7EK, 5731641]
[paragraph, [295.0, 532.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 568.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 604.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 640.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 676.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 712.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 748.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 784.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 820.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [295.0, 856.0, 1095.0, 36.0], shoonya_0sOU996GGKWS21, 5731641]
[paragraph, [292.0, 927.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 963.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 999.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1035.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1071.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1107.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1143.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1179.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1215.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1251.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1287.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1323.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1359.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1395.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1431.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1467.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1503.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1539.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1575.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1611.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1647.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1683.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1719.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1755.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1791.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1827.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1863.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[paragraph, [292.0, 1899.0, 1109.0, 36.0], PNURipvNfm, 5731641]
[folio, [786.0, 2006.0, 480.0, 36.0], shoonya_2sFG05Z9S048XH, 5731641]
