[1654, 1241]
[paragraph, [195.0, 110.0, 940.0, 36.0], ce3Dq669nd, 5730352]
[ordered-list, [158.0, 171.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 207.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 243.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 279.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 315.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 351.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 387.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 423.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 459.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 495.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 531.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 567.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 603.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 639.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 675.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 711.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 747.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 783.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 819.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 855.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 891.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 927.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 963.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 999.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1035.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1071.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1107.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1143.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1179.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1215.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1251.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1287.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1323.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1359.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1395.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1431.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1467.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
[ordered-list, [158.0, 1503.0, 981.0, 36.0], shoonya_0sQ3W1L6I5G0UU, 5730352]
