[5478, 3644]
[folio, [291.0, 414.0, 938.0, 52.5], PEvtWBv3p2, 5709777]
[folio, [291.0, 466.5, 938.0, 52.5], PEvtWBv3p2, 5709777]
[folio, [291.0, 519.0, 938.0, 52.5], PEvtWBv3p2, 5709777]
[folio, [291.0, 571.5, 938.0, 52.5], PEvtWBv3p2, 5709777]
[paragraph, [241.0, 632.0, 1872.0, 52.5], mX0UkmlK1A, 5709777]
[paragraph, [241.0, 684.5, 1872.0, 52.5], mX0UkmlK1A, 5709777]
[paragraph, [243.0, 768.0, 2711.0, 52.5], shoonya_2sOK4U7M5I14Q5, 5709777]
[paragraph, [243.0, 820.5, 2711.0, 52.5], shoonya_2sOK4U7M5I14Q5, 5709777]
[paragraph, [243.0, 873.0, 2711.0, 52.5], shoonya_2sOK4U7M5I14Q5, 5709777]
[paragraph, [243.0, 925.5, 2711.0, 52.5], shoonya_2sOK4U7M5I14Q5, 5709777]
[paragraph, [243.0, 978.0, 2711.0, 52.5], shoonya_2sOK4U7M5I14Q5, 5709777]
[paragraph, [227.0, 1147.0, 2728.0, 52.5], Kl5rIKQaBo, 5709777]
[paragraph, [227.0, 1199.5, 2728.0, 52.5], Kl5rIKQaBo, 5709777]
[paragraph, [227.0, 1252.0, 2728.0, 52.5], Kl5rIKQaBo, 5709777]
[paragraph, [227.0, 1304.5, 2728.0, 52.5], Kl5rIKQaBo, 5709777]
[paragraph, [227.0, 1357.0, 2728.0, 52.5], Kl5rIKQaBo, 5709777]
[paragraph, [227.0, 1409.5, 2728.0, 52.5], Kl5rIKQaBo, 5709777]
[paragraph, [227.0, 1462.0, 2728.0, 52.5], Kl5rIKQaBo, 5709777]
[paragraph, [464.0, 1561.0, 2177.0, 52.5], I5cInZ7RmR, 5709777]
[paragraph, [464.0, 1613.5, 2177.0, 52.5], I5cInZ7RmR, 5709777]
[paragraph, [464.0, 1666.0, 2177.0, 52.5], I5cInZ7RmR, 5709777]
