[792, 612]
[folio, [66.0, 32.0, 55.0, 18.0], nB2h4Q0o5d, 6514623]
[headline, [53.0, 85.0, 302.0, 25.5], shoonya_8s8OQHR5JBTLV3, 6514623]
[headline, [53.0, 110.5, 302.0, 25.5], shoonya_8s8OQHR5JBTLV3, 6514623]
[headline, [53.0, 136.0, 302.0, 25.5], shoonya_8s8OQHR5JBTLV3, 6514623]
[headline, [53.0, 161.5, 302.0, 25.5], shoonya_8s8OQHR5JBTLV3, 6514623]
[headline, [53.0, 187.0, 302.0, 25.5], shoonya_8s8OQHR5JBTLV3, 6514623]
[paragraph, [391.0, 87.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 105.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 123.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 141.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 159.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 177.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 195.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 213.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 231.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 249.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 267.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 285.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 303.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 321.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 339.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 357.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 375.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[paragraph, [391.0, 393.0, 164.0, 18.0], shoonya_10sYSAQGROOFKO, 6514623]
[author, [54.0, 238.0, 98.0, 18.0], b1TUYunL9Q, 6514623]
[paragraph, [223.0, 241.0, 163.0, 18.0], shoonya_9s97BOZK0S51Q6, 6514623]
[paragraph, [223.0, 259.0, 163.0, 18.0], shoonya_9s97BOZK0S51Q6, 6514623]
[paragraph, [223.0, 277.0, 163.0, 18.0], shoonya_9s97BOZK0S51Q6, 6514623]
[paragraph, [56.0, 270.0, 161.0, 18.0], shoonya_5sDM9788WO9HN5, 6514623]
[paragraph, [56.0, 288.0, 161.0, 18.0], shoonya_5sDM9788WO9HN5, 6514623]
[paragraph, [299.0, 300.0, 86.0, 18.0], shoonya_0sB1UPM7RHXYPB, 6514623]
[paragraph, [299.0, 318.0, 86.0, 18.0], shoonya_0sB1UPM7RHXYPB, 6514623]
[paragraph, [299.0, 336.0, 86.0, 18.0], shoonya_0sB1UPM7RHXYPB, 6514623]
[paragraph, [299.0, 354.0, 86.0, 18.0], shoonya_0sB1UPM7RHXYPB, 6514623]
[paragraph, [299.0, 372.0, 86.0, 18.0], shoonya_0sB1UPM7RHXYPB, 6514623]
[paragraph, [299.0, 390.0, 86.0, 18.0], shoonya_0sB1UPM7RHXYPB, 6514623]
[paragraph, [299.0, 408.0, 86.0, 18.0], shoonya_0sB1UPM7RHXYPB, 6514623]
[paragraph, [56.0, 311.0, 100.0, 18.0], 7es9XY6ctR, 6514623]
[paragraph, [56.0, 329.0, 100.0, 18.0], 7es9XY6ctR, 6514623]
[paragraph, [56.0, 347.0, 100.0, 18.0], 7es9XY6ctR, 6514623]
[paragraph, [56.0, 365.0, 100.0, 18.0], 7es9XY6ctR, 6514623]
[paragraph, [56.0, 383.0, 100.0, 18.0], 7es9XY6ctR, 6514623]
[paragraph, [57.0, 413.0, 103.0, 18.0], 9yuINwQuJK, 6514623]
[paragraph, [392.0, 413.0, 164.0, 18.0], shoonya_6s86ISBKMENSL1, 6514623]
[paragraph, [392.0, 431.0, 164.0, 18.0], shoonya_6s86ISBKMENSL1, 6514623]
[paragraph, [392.0, 449.0, 164.0, 18.0], shoonya_6s86ISBKMENSL1, 6514623]
[paragraph, [392.0, 467.0, 164.0, 18.0], shoonya_6s86ISBKMENSL1, 6514623]
[paragraph, [392.0, 485.0, 164.0, 18.0], shoonya_6s86ISBKMENSL1, 6514623]
[paragraph, [392.0, 503.0, 164.0, 18.0], shoonya_6s86ISBKMENSL1, 6514623]
[paragraph, [392.0, 521.0, 164.0, 18.0], shoonya_6s86ISBKMENSL1, 6514623]
[paragraph, [222.0, 426.0, 167.0, 18.0], shoonya_7sB4XOVKJU7MC9, 6514623]
[paragraph, [222.0, 444.0, 167.0, 18.0], shoonya_7sB4XOVKJU7MC9, 6514623]
[paragraph, [222.0, 462.0, 167.0, 18.0], shoonya_7sB4XOVKJU7MC9, 6514623]
[paragraph, [222.0, 480.0, 167.0, 18.0], shoonya_7sB4XOVKJU7MC9, 6514623]
[paragraph, [222.0, 498.0, 167.0, 18.0], shoonya_7sB4XOVKJU7MC9, 6514623]
[paragraph, [222.0, 516.0, 167.0, 18.0], shoonya_7sB4XOVKJU7MC9, 6514623]
[paragraph, [222.0, 534.0, 167.0, 18.0], shoonya_7sB4XOVKJU7MC9, 6514623]
[paragraph, [56.0, 440.0, 162.0, 18.0], u3ZCjZbS-c, 6514623]
[paragraph, [56.0, 458.0, 162.0, 18.0], u3ZCjZbS-c, 6514623]
[paragraph, [56.0, 476.0, 162.0, 18.0], u3ZCjZbS-c, 6514623]
[paragraph, [56.0, 494.0, 162.0, 18.0], u3ZCjZbS-c, 6514623]
[paragraph, [56.0, 512.0, 162.0, 18.0], u3ZCjZbS-c, 6514623]
[paragraph, [56.0, 531.0, 163.0, 18.0], H1gC8gFR8S, 6514623]
[paragraph, [393.0, 557.0, 162.0, 18.0], shoonya_12sLANC3FOU6SP, 6514623]
[paragraph, [393.0, 575.0, 162.0, 18.0], shoonya_12sLANC3FOU6SP, 6514623]
[paragraph, [393.0, 593.0, 162.0, 18.0], shoonya_12sLANC3FOU6SP, 6514623]
