[3960, 3060]
[paragraph, [767.0, 357.0, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 409.5, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 462.0, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 514.5, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 567.0, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 619.5, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 672.0, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 724.5, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 777.0, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 829.5, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[paragraph, [767.0, 882.0, 1862.0, 52.5], shoonya_2sXZBHDO6AKJKB, 5698686]
[section-title, [772.0, 986.0, 368.0, 93.0], aT_BaC_Cnw, 5698686]
[paragraph, [762.0, 1103.0, 1879.0, 52.5], shoonya_0sB0KESRZVJJDS, 5698686]
[paragraph, [762.0, 1155.5, 1879.0, 52.5], shoonya_0sB0KESRZVJJDS, 5698686]
[paragraph, [762.0, 1208.0, 1879.0, 52.5], shoonya_0sB0KESRZVJJDS, 5698686]
[paragraph, [762.0, 1260.5, 1879.0, 52.5], shoonya_0sB0KESRZVJJDS, 5698686]
[paragraph, [762.0, 1313.0, 1879.0, 52.5], shoonya_0sB0KESRZVJJDS, 5698686]
[paragraph, [762.0, 1365.5, 1879.0, 52.5], shoonya_0sB0KESRZVJJDS, 5698686]
[paragraph, [762.0, 1418.0, 1879.0, 52.5], shoonya_0sB0KESRZVJJDS, 5698686]
[paragraph, [762.0, 1470.5, 1879.0, 52.5], shoonya_0sB0KESRZVJJDS, 5698686]
[ordered-list, [675.0, 1574.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 1626.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 1679.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 1731.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 1784.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 1836.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 1889.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 1941.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 1994.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2046.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2099.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2151.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2204.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2256.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2309.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2361.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2414.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2466.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2519.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2571.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2624.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2676.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2729.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2781.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2834.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2886.5, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[ordered-list, [675.0, 2939.0, 1979.0, 52.5], DhNB6fqIlj, 5698686]
[paragraph, [655.0, 3014.0, 2029.0, 52.5], cuPjFHW1vj, 5698686]
[paragraph, [655.0, 3066.5, 2029.0, 52.5], cuPjFHW1vj, 5698686]
[paragraph, [655.0, 3119.0, 2029.0, 52.5], cuPjFHW1vj, 5698686]
[paragraph, [655.0, 3171.5, 2029.0, 52.5], cuPjFHW1vj, 5698686]
[paragraph, [655.0, 3224.0, 2029.0, 52.5], cuPjFHW1vj, 5698686]
[paragraph, [655.0, 3276.5, 2029.0, 52.5], cuPjFHW1vj, 5698686]
[paragraph, [655.0, 3329.0, 2029.0, 52.5], cuPjFHW1vj, 5698686]
[paragraph, [655.0, 3381.5, 2029.0, 52.5], cuPjFHW1vj, 5698686]
[ordered-list, [926.0, 3500.0, 1971.0, 52.5], 5zKon1lNUT, 5698686]
[ordered-list, [926.0, 3552.5, 1971.0, 52.5], 5zKon1lNUT, 5698686]
