[2339, 1656]
[dateline, [914.0, 8.0, 322.0, 64.5], PW7EqMqj2W, 5656507]
[folio, [423.0, 14.0, 504.0, 36.0], FJnXr14W-R, 5656507]
[chapter-title, [198.0, 100.0, 1265.0, 70.5], BmgIMspiuM, 5656507]
[author, [563.0, 235.0, 528.0, 36.0], Z4akcqlr5A, 5656507]
[author, [563.0, 271.0, 528.0, 36.0], Z4akcqlr5A, 5656507]
[contact-info, [392.0, 311.0, 870.0, 36.0], hcDDFX34uC, 5656507]
[contact-info, [392.0, 347.0, 870.0, 36.0], hcDDFX34uC, 5656507]
[contact-info, [392.0, 383.0, 870.0, 36.0], hcDDFX34uC, 5656507]
[contact-info, [392.0, 419.0, 870.0, 36.0], hcDDFX34uC, 5656507]
[contact-info, [392.0, 455.0, 870.0, 36.0], hcDDFX34uC, 5656507]
[paragraph, [80.0, 663.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 699.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 735.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 771.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 807.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 843.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 879.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 915.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 951.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 987.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 1023.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 1059.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 1095.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 1131.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 1167.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 1203.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 1239.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [80.0, 1275.0, 1491.0, 36.0], shoonya_1s95XI3A3RD45G, 5656507]
[paragraph, [94.0, 1317.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1353.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1389.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1425.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1461.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1497.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1533.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1569.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1605.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1641.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1677.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1713.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1749.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1785.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1821.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1857.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1893.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1929.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 1965.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [94.0, 2001.0, 1502.0, 36.0], shoonya_0sPO849C08NICF, 5656507]
[paragraph, [90.0, 2067.0, 1471.0, 36.0], shoonya_2sFFRRW5RSRG4H, 5656507]
[paragraph, [90.0, 2103.0, 1471.0, 36.0], shoonya_2sFFRRW5RSRG4H, 5656507]
[paragraph, [90.0, 2139.0, 1471.0, 36.0], shoonya_2sFFRRW5RSRG4H, 5656507]
[footnote, [332.0, 2240.0, 972.0, 36.0], 6AEQVmKvPJ, 5656507]
[footnote, [332.0, 2276.0, 972.0, 36.0], 6AEQVmKvPJ, 5656507]
