[1437, 878]
[headline, [261.0, 73.0, 485.0, 25.5], _Uqbb3vSvF, 5769847]
[paragraph, [75.0, 136.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 154.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 172.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 190.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 208.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 226.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 244.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 262.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 280.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 298.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 316.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 334.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 352.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 370.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 388.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 406.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [75.0, 424.0, 371.0, 18.0], zrhIOZOZ9K, 5769847]
[paragraph, [448.0, 136.0, 351.0, 18.0], tKxnQ7hi59, 5769847]
[paragraph, [448.0, 154.0, 351.0, 18.0], tKxnQ7hi59, 5769847]
[paragraph, [448.0, 172.0, 351.0, 18.0], tKxnQ7hi59, 5769847]
[paragraph, [448.0, 194.0, 356.0, 18.0], KV9NpX3wdQ, 5769847]
[paragraph, [448.0, 212.0, 356.0, 18.0], KV9NpX3wdQ, 5769847]
[paragraph, [448.0, 230.0, 356.0, 18.0], KV9NpX3wdQ, 5769847]
[paragraph, [448.0, 248.0, 356.0, 18.0], KV9NpX3wdQ, 5769847]
[paragraph, [448.0, 266.0, 356.0, 18.0], KV9NpX3wdQ, 5769847]
[paragraph, [448.0, 284.0, 356.0, 18.0], KV9NpX3wdQ, 5769847]
[paragraph, [448.0, 302.0, 356.0, 18.0], KV9NpX3wdQ, 5769847]
[paragraph, [448.0, 320.0, 356.0, 18.0], KV9NpX3wdQ, 5769847]
