[1280, 925]
[chapter-title, [269.0, 47.0, 270.0, 30.0], shoonya_0s9AFO740HAGE9, 5775941]
[paragraph, [80.0, 90.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 108.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 126.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 144.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 162.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 180.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 198.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 216.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 234.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 252.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 270.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 288.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 306.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 324.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [80.0, 342.0, 666.0, 18.0], xsas6NESLy, 5775941]
[paragraph, [78.0, 372.0, 670.0, 18.0], e6frjoYEYL, 5775941]
[paragraph, [78.0, 390.0, 670.0, 18.0], e6frjoYEYL, 5775941]
[paragraph, [78.0, 408.0, 670.0, 18.0], e6frjoYEYL, 5775941]
[paragraph, [78.0, 426.0, 670.0, 18.0], e6frjoYEYL, 5775941]
[paragraph, [78.0, 444.0, 670.0, 18.0], e6frjoYEYL, 5775941]
[paragraph, [78.0, 462.0, 670.0, 18.0], e6frjoYEYL, 5775941]
[paragraph, [77.0, 494.0, 569.0, 18.0], bn2jXGB2rL, 5775941]
[paragraph, [75.0, 523.0, 405.0, 18.0], eC66jSeYrA, 5775941]
[paragraph, [74.0, 552.0, 405.0, 18.0], kJGaC4nsMJ, 5775941]
[paragraph, [74.0, 573.0, 171.0, 18.0], EEVXZfHSk9, 5775941]
[paragraph, [77.0, 604.0, 671.0, 18.0], Yvr1455HGr, 5775941]
[paragraph, [77.0, 622.0, 671.0, 18.0], Yvr1455HGr, 5775941]
[paragraph, [80.0, 648.0, 252.0, 18.0], rRxMHoGfEj, 5775941]
[paragraph, [75.0, 680.0, 504.0, 18.0], nIgLAKd-DZ, 5775941]
[paragraph, [74.0, 706.0, 503.0, 18.0], GVW71PSPlf, 5775941]
[paragraph, [73.0, 729.0, 519.0, 18.0], nKd-w4jE0d, 5775941]
[paragraph, [74.0, 758.0, 659.0, 18.0], qbo1hkklp3, 5775941]
[paragraph, [74.0, 776.0, 659.0, 18.0], qbo1hkklp3, 5775941]
[paragraph, [78.0, 810.0, 362.0, 18.0], ETxrz0M02x, 5775941]
[paragraph, [79.0, 834.0, 502.0, 18.0], rEi8pgpB_M, 5775941]
[paragraph, [71.0, 864.0, 664.0, 18.0], Fxngzbtrq6, 5775941]
[paragraph, [71.0, 882.0, 664.0, 18.0], Fxngzbtrq6, 5775941]
[paragraph, [69.0, 914.0, 351.0, 18.0], ZT4OH9fEzr, 5775941]
[paragraph, [64.0, 942.0, 683.0, 18.0], n87IO3tw9o, 5775941]
[paragraph, [64.0, 960.0, 683.0, 18.0], n87IO3tw9o, 5775941]
[paragraph, [64.0, 978.0, 683.0, 18.0], n87IO3tw9o, 5775941]
[paragraph, [64.0, 996.0, 683.0, 18.0], n87IO3tw9o, 5775941]
[paragraph, [64.0, 1014.0, 683.0, 18.0], n87IO3tw9o, 5775941]
[paragraph, [64.0, 1032.0, 683.0, 18.0], n87IO3tw9o, 5775941]
[paragraph, [64.0, 1050.0, 683.0, 18.0], n87IO3tw9o, 5775941]
[paragraph, [64.0, 1068.0, 683.0, 18.0], n87IO3tw9o, 5775941]
