[1754, 1241]
[headline, [249.0, 223.0, 757.0, 37.5], shoonya_3s5WUIV26XNQF3, 6471897]
[headline, [249.0, 260.5, 757.0, 37.5], shoonya_3s5WUIV26XNQF3, 6471897]
[headline, [249.0, 298.0, 757.0, 37.5], shoonya_3s5WUIV26XNQF3, 6471897]
[headline, [249.0, 335.5, 757.0, 37.5], shoonya_3s5WUIV26XNQF3, 6471897]
[headline, [249.0, 373.0, 757.0, 37.5], shoonya_3s5WUIV26XNQF3, 6471897]
[paragraph, [639.0, 433.0, 494.0, 36.0], shoonya_2sM8WEYC40JJZK, 6471897]
[paragraph, [639.0, 469.0, 494.0, 36.0], shoonya_2sM8WEYC40JJZK, 6471897]
[paragraph, [639.0, 505.0, 494.0, 36.0], shoonya_2sM8WEYC40JJZK, 6471897]
[paragraph, [639.0, 541.0, 494.0, 36.0], shoonya_2sM8WEYC40JJZK, 6471897]
[paragraph, [639.0, 577.0, 494.0, 36.0], shoonya_2sM8WEYC40JJZK, 6471897]
[paragraph, [639.0, 613.0, 494.0, 36.0], shoonya_2sM8WEYC40JJZK, 6471897]
[paragraph, [639.0, 649.0, 494.0, 36.0], shoonya_2sM8WEYC40JJZK, 6471897]
[paragraph, [639.0, 685.0, 494.0, 36.0], shoonya_2sM8WEYC40JJZK, 6471897]
[figure-caption, [348.0, 632.0, 253.0, 36.0], shoonya_11sPL8FD1H3IYU, 6471897]
[paragraph, [629.0, 756.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 792.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 828.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 864.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 900.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 936.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 972.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 1008.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 1044.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 1080.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 1116.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [629.0, 1152.0, 493.0, 36.0], shoonya_0sCEZNXTCKASCU, 6471897]
[paragraph, [634.0, 1214.0, 499.0, 36.0], shoonya_1sMERFCXNB3J4J, 6471897]
[paragraph, [634.0, 1250.0, 499.0, 36.0], shoonya_1sMERFCXNB3J4J, 6471897]
[paragraph, [634.0, 1286.0, 499.0, 36.0], shoonya_1sMERFCXNB3J4J, 6471897]
[paragraph, [634.0, 1322.0, 499.0, 36.0], shoonya_1sMERFCXNB3J4J, 6471897]
[paragraph, [634.0, 1358.0, 499.0, 36.0], shoonya_1sMERFCXNB3J4J, 6471897]
[paragraph, [634.0, 1394.0, 499.0, 36.0], shoonya_1sMERFCXNB3J4J, 6471897]
[paragraph, [636.0, 1462.0, 496.0, 36.0], shoonya_4sL1WZ190AN0IK, 6471897]
[paragraph, [636.0, 1498.0, 496.0, 36.0], shoonya_4sL1WZ190AN0IK, 6471897]
[paragraph, [636.0, 1534.0, 496.0, 36.0], shoonya_4sL1WZ190AN0IK, 6471897]
[paragraph, [636.0, 1570.0, 496.0, 36.0], shoonya_4sL1WZ190AN0IK, 6471897]
[quote, [174.0, 1465.0, 406.0, 36.0], shoonya_5s62JKNLFN7D60, 6471897]
[quote, [174.0, 1501.0, 406.0, 36.0], shoonya_5s62JKNLFN7D60, 6471897]
[quote, [174.0, 1537.0, 406.0, 36.0], shoonya_5s62JKNLFN7D60, 6471897]
