[811, 612]
[chapter-title, [214.0, 50.0, 145.0, 30.0], LPOSnHJBMH, 5700877]
[paragraph, [166.0, 136.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 154.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 172.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 190.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 208.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 226.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 244.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 262.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 280.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 298.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[paragraph, [166.0, 316.0, 292.0, 18.0], w3XIsx3q98, 5700877]
[author, [344.0, 355.0, 101.0, 18.0], un2Lk7O_Jv, 5700877]
[paragraph, [66.0, 415.0, 474.0, 18.0], shoonya_3s0QKH0I45KQEV, 5700877]
[paragraph, [66.0, 433.0, 474.0, 18.0], shoonya_3s0QKH0I45KQEV, 5700877]
[placeholder-text, [163.0, 737.0, 294.0, 18.0], QlOgxigmAk, 5700877]
