[3968, 2806]
[paragraph, [1474.0, 273.0, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 325.5, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 378.0, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 430.5, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 483.0, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 535.5, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 588.0, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 640.5, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 693.0, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [1474.0, 745.5, 844.0, 52.5], 5EKjJmlRZl, 5684238]
[paragraph, [213.0, 292.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 344.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 397.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 449.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 502.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 554.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 607.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 659.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 712.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 764.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 817.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 869.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 922.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 974.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1027.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1079.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1132.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1184.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1237.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1289.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1342.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1394.5, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
[paragraph, [213.0, 1447.0, 1198.0, 52.5], shoonya_0sUOSV3N00HIMG, 5684238]
