[576, 360]
[paragraph, [28.0, 57.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 75.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 93.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 111.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 129.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 147.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 165.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 183.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 201.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 219.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 237.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 255.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 273.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 291.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 309.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 327.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 345.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 363.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 381.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 399.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 417.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 435.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 453.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 471.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 489.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
[paragraph, [28.0, 507.0, 301.0, 18.0], shoonya_0s0J7DUQDOFTBS, 6517176]
