[2048, 1343]
[paragraph, [117.0, 273.0, 1101.0, 36.0], shoonya_0sJN6DR8UWB17N, 5774220]
[paragraph, [117.0, 309.0, 1101.0, 36.0], shoonya_0sJN6DR8UWB17N, 5774220]
[paragraph, [117.0, 345.0, 1101.0, 36.0], shoonya_0sJN6DR8UWB17N, 5774220]
[paragraph, [117.0, 381.0, 1101.0, 36.0], shoonya_0sJN6DR8UWB17N, 5774220]
[paragraph, [117.0, 417.0, 1101.0, 36.0], shoonya_0sJN6DR8UWB17N, 5774220]
[paragraph, [117.0, 453.0, 1101.0, 36.0], shoonya_0sJN6DR8UWB17N, 5774220]
[paragraph, [119.0, 493.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 529.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 565.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 601.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 637.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 673.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 709.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 745.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 781.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 817.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 853.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 889.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 925.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [119.0, 961.0, 1104.0, 36.0], wb2XzVFXKu, 5774220]
[paragraph, [105.0, 996.0, 1117.0, 36.0], lMdwqQ5-fm, 5774220]
[paragraph, [105.0, 1032.0, 1117.0, 36.0], lMdwqQ5-fm, 5774220]
[paragraph, [105.0, 1068.0, 1117.0, 36.0], lMdwqQ5-fm, 5774220]
[paragraph, [105.0, 1104.0, 1117.0, 36.0], lMdwqQ5-fm, 5774220]
[paragraph, [105.0, 1140.0, 1117.0, 36.0], lMdwqQ5-fm, 5774220]
[paragraph, [105.0, 1176.0, 1117.0, 36.0], lMdwqQ5-fm, 5774220]
[paragraph, [91.0, 1215.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1251.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1287.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1323.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1359.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1395.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1431.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1467.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1503.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1539.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1575.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1611.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1647.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1683.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1719.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1755.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1791.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1827.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1863.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
[paragraph, [91.0, 1899.0, 1139.0, 36.0], IYHf0U-8vH, 5774220]
