[716, 500]
[folio, [200.0, 43.0, 100.0, 18.0], ID9A8DQd-v, 6464328]
[paragraph, [45.0, 72.0, 401.0, 18.0], wDyk6tYGkP, 6464328]
[paragraph, [45.0, 90.0, 401.0, 18.0], wDyk6tYGkP, 6464328]
[paragraph, [45.0, 108.0, 401.0, 18.0], wDyk6tYGkP, 6464328]
[paragraph, [45.0, 126.0, 401.0, 18.0], wDyk6tYGkP, 6464328]
[paragraph, [42.0, 139.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 157.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 175.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 193.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 211.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 229.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 247.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 265.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 283.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 301.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 319.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [42.0, 337.0, 402.0, 18.0], LJ8qcWG8Ce, 6464328]
[paragraph, [36.0, 351.0, 404.0, 18.0], ufJlja2GVw, 6464328]
[paragraph, [36.0, 369.0, 404.0, 18.0], ufJlja2GVw, 6464328]
[paragraph, [36.0, 387.0, 404.0, 18.0], ufJlja2GVw, 6464328]
[paragraph, [36.0, 405.0, 404.0, 18.0], ufJlja2GVw, 6464328]
[paragraph, [36.0, 423.0, 404.0, 18.0], ufJlja2GVw, 6464328]
[paragraph, [36.0, 441.0, 404.0, 18.0], ufJlja2GVw, 6464328]
[paragraph, [36.0, 459.0, 404.0, 18.0], ufJlja2GVw, 6464328]
[paragraph, [36.0, 477.0, 404.0, 18.0], ufJlja2GVw, 6464328]
[paragraph, [43.0, 497.0, 393.0, 18.0], 7vragoKtYK, 6464328]
[paragraph, [43.0, 515.0, 393.0, 18.0], 7vragoKtYK, 6464328]
[paragraph, [43.0, 533.0, 393.0, 18.0], 7vragoKtYK, 6464328]
[paragraph, [43.0, 551.0, 393.0, 18.0], 7vragoKtYK, 6464328]
[paragraph, [43.0, 569.0, 393.0, 18.0], 7vragoKtYK, 6464328]
[paragraph, [42.0, 588.0, 392.0, 18.0], RlWgJ2lWYl, 6464328]
[paragraph, [42.0, 606.0, 392.0, 18.0], RlWgJ2lWYl, 6464328]
[paragraph, [42.0, 624.0, 392.0, 18.0], RlWgJ2lWYl, 6464328]
[paragraph, [42.0, 642.0, 392.0, 18.0], RlWgJ2lWYl, 6464328]
