[1763, 1275]
[section-title, [12.0, 47.0, 235.0, 49.5], cTF26BZmPP, 5712494]
[section-title, [517.0, 47.0, 362.0, 49.5], RAWESD9Um9, 5712494]
[author, [9.0, 119.0, 173.0, 36.0], yD4viLLqk3, 5712494]
[author, [509.0, 125.0, 214.0, 36.0], NsAw0oULaE, 5712494]
[paragraph, [3.0, 187.0, 418.0, 36.0], KdFSs42-7J, 5712494]
[paragraph, [3.0, 223.0, 418.0, 36.0], KdFSs42-7J, 5712494]
[paragraph, [3.0, 259.0, 418.0, 36.0], KdFSs42-7J, 5712494]
[paragraph, [3.0, 295.0, 418.0, 36.0], KdFSs42-7J, 5712494]
[paragraph, [3.0, 331.0, 418.0, 36.0], KdFSs42-7J, 5712494]
[paragraph, [3.0, 367.0, 418.0, 36.0], KdFSs42-7J, 5712494]
[paragraph, [518.0, 187.0, 248.0, 36.0], EdE6CXgr15, 5712494]
[paragraph, [518.0, 223.0, 248.0, 36.0], EdE6CXgr15, 5712494]
[paragraph, [518.0, 259.0, 248.0, 36.0], EdE6CXgr15, 5712494]
[paragraph, [515.0, 318.0, 269.0, 36.0], QfDgjmsW3H, 5712494]
[paragraph, [515.0, 354.0, 269.0, 36.0], QfDgjmsW3H, 5712494]
[paragraph, [515.0, 390.0, 269.0, 36.0], QfDgjmsW3H, 5712494]
[paragraph, [515.0, 426.0, 269.0, 36.0], QfDgjmsW3H, 5712494]
[paragraph, [0.0, 442.0, 391.0, 36.0], SARE4pqBQK, 5712494]
[paragraph, [0.0, 478.0, 391.0, 36.0], SARE4pqBQK, 5712494]
[paragraph, [0.0, 514.0, 391.0, 36.0], SARE4pqBQK, 5712494]
[paragraph, [0.0, 550.0, 391.0, 36.0], SARE4pqBQK, 5712494]
[paragraph, [0.0, 586.0, 391.0, 36.0], SARE4pqBQK, 5712494]
[paragraph, [0.0, 622.0, 391.0, 36.0], SARE4pqBQK, 5712494]
[paragraph, [507.0, 487.0, 294.0, 36.0], _47TLPlTbx, 5712494]
[paragraph, [507.0, 523.0, 294.0, 36.0], _47TLPlTbx, 5712494]
[paragraph, [507.0, 559.0, 294.0, 36.0], _47TLPlTbx, 5712494]
[paragraph, [507.0, 595.0, 294.0, 36.0], _47TLPlTbx, 5712494]
[author, [816.0, 562.0, 270.0, 36.0], WfDhK_nD0i, 5712494]
[paragraph, [826.0, 621.0, 297.0, 36.0], XKYKqFDPtv, 5712494]
[paragraph, [826.0, 657.0, 297.0, 36.0], XKYKqFDPtv, 5712494]
[paragraph, [826.0, 693.0, 297.0, 36.0], XKYKqFDPtv, 5712494]
[paragraph, [0.0, 686.0, 348.0, 36.0], idEWSUUtxz, 5712494]
[paragraph, [0.0, 722.0, 348.0, 36.0], idEWSUUtxz, 5712494]
[paragraph, [0.0, 758.0, 348.0, 36.0], idEWSUUtxz, 5712494]
[paragraph, [0.0, 794.0, 348.0, 36.0], idEWSUUtxz, 5712494]
[paragraph, [0.0, 830.0, 348.0, 36.0], idEWSUUtxz, 5712494]
[paragraph, [0.0, 866.0, 348.0, 36.0], idEWSUUtxz, 5712494]
[paragraph, [512.0, 686.0, 265.0, 36.0], a5jYwHRrbb, 5712494]
[paragraph, [512.0, 722.0, 265.0, 36.0], a5jYwHRrbb, 5712494]
[paragraph, [512.0, 758.0, 265.0, 36.0], a5jYwHRrbb, 5712494]
[paragraph, [512.0, 794.0, 265.0, 36.0], a5jYwHRrbb, 5712494]
[paragraph, [826.0, 738.0, 353.0, 36.0], YfUJfHvUX3, 5712494]
[paragraph, [826.0, 774.0, 353.0, 36.0], YfUJfHvUX3, 5712494]
[paragraph, [826.0, 810.0, 353.0, 36.0], YfUJfHvUX3, 5712494]
[paragraph, [509.0, 847.0, 248.0, 36.0], FW4LmrhHJf, 5712494]
[paragraph, [509.0, 883.0, 248.0, 36.0], FW4LmrhHJf, 5712494]
[paragraph, [509.0, 919.0, 248.0, 36.0], FW4LmrhHJf, 5712494]
[paragraph, [509.0, 955.0, 248.0, 36.0], FW4LmrhHJf, 5712494]
[paragraph, [509.0, 991.0, 248.0, 36.0], FW4LmrhHJf, 5712494]
