[1650, 934]
[folio, [366.0, 127.0, 258.0, 36.0], Lj89oYBIXH, 5766748]
[paragraph, [95.0, 190.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 226.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 262.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 298.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 334.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 370.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 406.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 442.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 478.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 514.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 550.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 586.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 622.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 658.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 694.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 730.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 766.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 802.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 838.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 874.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 910.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 946.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 982.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1018.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1054.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1090.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1126.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1162.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1198.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1234.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1270.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1306.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1342.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1378.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1414.0, 811.0, 36.0], U88mhHvPjW, 5766748]
[paragraph, [95.0, 1450.0, 811.0, 36.0], U88mhHvPjW, 5766748]
