[1200, 825]
[paragraph, [135.0, 106.0, 551.0, 18.0], shoonya_1s5QOTJ5UE8FQD, 5691252]
[paragraph, [135.0, 124.0, 551.0, 18.0], shoonya_1s5QOTJ5UE8FQD, 5691252]
[paragraph, [135.0, 142.0, 551.0, 18.0], shoonya_1s5QOTJ5UE8FQD, 5691252]
[paragraph, [135.0, 173.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 191.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 209.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 227.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 245.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 263.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 281.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 299.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 317.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 335.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 353.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 371.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 389.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 407.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 425.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 443.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 461.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 479.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
[paragraph, [135.0, 497.0, 552.0, 18.0], shoonya_0sEW1ZSI3ZXMOS, 5691252]
