[1736, 1323]
[paragraph, [126.0, 144.0, 526.0, 36.0], shoonya_3sBHX8TULXKUBS, 5772189]
[paragraph, [126.0, 180.0, 526.0, 36.0], shoonya_3sBHX8TULXKUBS, 5772189]
[paragraph, [126.0, 216.0, 526.0, 36.0], shoonya_3sBHX8TULXKUBS, 5772189]
[paragraph, [126.0, 252.0, 526.0, 36.0], shoonya_3sBHX8TULXKUBS, 5772189]
[paragraph, [126.0, 288.0, 526.0, 36.0], shoonya_3sBHX8TULXKUBS, 5772189]
[paragraph, [126.0, 324.0, 526.0, 36.0], shoonya_3sBHX8TULXKUBS, 5772189]
[quote, [704.0, 147.0, 479.0, 36.0], qE-LBHI5JY, 5772189]
[quote, [704.0, 183.0, 479.0, 36.0], qE-LBHI5JY, 5772189]
[quote, [704.0, 219.0, 479.0, 36.0], qE-LBHI5JY, 5772189]
[quote, [704.0, 255.0, 479.0, 36.0], qE-LBHI5JY, 5772189]
[paragraph, [127.0, 464.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 500.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 536.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 572.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 608.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 644.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 680.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 716.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 752.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 788.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 824.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 860.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 896.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 932.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [127.0, 968.0, 525.0, 36.0], shoonya_0sF6THCJF2CDFU, 5772189]
[paragraph, [666.0, 548.0, 536.0, 36.0], shoonya_4s35WR76FCIJR7, 5772189]
[paragraph, [666.0, 584.0, 536.0, 36.0], shoonya_4s35WR76FCIJR7, 5772189]
[paragraph, [666.0, 620.0, 536.0, 36.0], shoonya_4s35WR76FCIJR7, 5772189]
[paragraph, [666.0, 656.0, 536.0, 36.0], shoonya_4s35WR76FCIJR7, 5772189]
[paragraph, [666.0, 692.0, 536.0, 36.0], shoonya_4s35WR76FCIJR7, 5772189]
[paragraph, [666.0, 728.0, 536.0, 36.0], shoonya_4s35WR76FCIJR7, 5772189]
[paragraph, [666.0, 764.0, 536.0, 36.0], shoonya_4s35WR76FCIJR7, 5772189]
[paragraph, [667.0, 898.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 934.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 970.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1006.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1042.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1078.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1114.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1150.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1186.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1222.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1258.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1294.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1330.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1366.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1402.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1438.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1474.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [667.0, 1510.0, 539.0, 36.0], shoonya_1sN6771EGCHO21, 5772189]
[paragraph, [127.0, 1093.0, 525.0, 36.0], shoonya_5sMPWEOSN6FRBJ, 5772189]
[paragraph, [127.0, 1129.0, 525.0, 36.0], shoonya_5sMPWEOSN6FRBJ, 5772189]
[sidebar, [155.0, 1257.0, 473.0, 36.0], shoonya_11sOY78LKVO7XY, 5772189]
[sidebar, [155.0, 1293.0, 473.0, 36.0], shoonya_11sOY78LKVO7XY, 5772189]
