[1050, 693]
[folio, [82.0, 78.0, 87.0, 18.0], shoonya_1sFHA7A6IW11KH, 5701645]
[folio, [82.0, 96.0, 87.0, 18.0], shoonya_1sFHA7A6IW11KH, 5701645]
[paragraph, [81.0, 123.0, 528.0, 18.0], shoonya_2sMMKYI731Y12Z, 5701645]
[paragraph, [81.0, 141.0, 528.0, 18.0], shoonya_2sMMKYI731Y12Z, 5701645]
[paragraph, [81.0, 159.0, 528.0, 18.0], shoonya_2sMMKYI731Y12Z, 5701645]
[paragraph, [81.0, 177.0, 528.0, 18.0], shoonya_2sMMKYI731Y12Z, 5701645]
[paragraph, [67.0, 191.0, 536.0, 18.0], vFi-JkMh9D, 5701645]
[paragraph, [67.0, 209.0, 536.0, 18.0], vFi-JkMh9D, 5701645]
[paragraph, [67.0, 227.0, 536.0, 18.0], vFi-JkMh9D, 5701645]
[paragraph, [63.0, 262.0, 545.0, 18.0], qxmo9SbO6l, 5701645]
[paragraph, [63.0, 280.0, 545.0, 18.0], qxmo9SbO6l, 5701645]
[paragraph, [63.0, 298.0, 545.0, 18.0], qxmo9SbO6l, 5701645]
[paragraph, [63.0, 316.0, 545.0, 18.0], qxmo9SbO6l, 5701645]
[paragraph, [63.0, 334.0, 545.0, 18.0], qxmo9SbO6l, 5701645]
[paragraph, [63.0, 352.0, 545.0, 18.0], qxmo9SbO6l, 5701645]
[paragraph, [76.0, 390.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 408.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 426.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 444.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 462.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 480.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 498.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 516.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 534.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [76.0, 552.0, 528.0, 18.0], NymBxa1rNB, 5701645]
[paragraph, [86.0, 578.0, 527.0, 18.0], n_tGzTpYjC, 5701645]
[paragraph, [86.0, 596.0, 527.0, 18.0], n_tGzTpYjC, 5701645]
[paragraph, [86.0, 614.0, 527.0, 18.0], n_tGzTpYjC, 5701645]
[paragraph, [86.0, 632.0, 527.0, 18.0], n_tGzTpYjC, 5701645]
[paragraph, [86.0, 650.0, 527.0, 18.0], n_tGzTpYjC, 5701645]
[paragraph, [86.0, 668.0, 527.0, 18.0], n_tGzTpYjC, 5701645]
[paragraph, [86.0, 686.0, 527.0, 18.0], n_tGzTpYjC, 5701645]
[paragraph, [84.0, 716.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 734.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 752.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 770.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 788.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 806.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 824.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 842.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 860.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 878.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 896.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 914.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 932.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
[paragraph, [84.0, 950.0, 527.0, 18.0], shoonya_0sT167EMGB5265, 5701645]
