[2339, 1654]
[folio, [76.0, 109.0, 346.0, 36.0], vMVNshGzdE, 5751354]
[paragraph, [79.0, 164.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 200.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 236.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 272.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 308.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 344.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 380.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 416.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 452.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 488.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 524.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 560.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 596.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 632.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 668.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 704.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [79.0, 740.0, 1458.0, 36.0], shoonya_0sRJ3UKHM00N7Z, 5751354]
[paragraph, [71.0, 817.0, 1462.0, 36.0], shoonya_1s8OFWGPZWBHEF, 5751354]
[paragraph, [71.0, 853.0, 1462.0, 36.0], shoonya_1s8OFWGPZWBHEF, 5751354]
[paragraph, [71.0, 889.0, 1462.0, 36.0], shoonya_1s8OFWGPZWBHEF, 5751354]
[paragraph, [71.0, 925.0, 1462.0, 36.0], shoonya_1s8OFWGPZWBHEF, 5751354]
[paragraph, [71.0, 961.0, 1462.0, 36.0], shoonya_1s8OFWGPZWBHEF, 5751354]
[paragraph, [71.0, 997.0, 1462.0, 36.0], shoonya_1s8OFWGPZWBHEF, 5751354]
[paragraph, [71.0, 1033.0, 1462.0, 36.0], shoonya_1s8OFWGPZWBHEF, 5751354]
