[1492, 1000]
[folio, [448.0, 152.0, 102.0, 18.0], shoonya_3sYE586DX4R7GL, 5720136]
[paragraph, [128.0, 205.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 223.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 241.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 259.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 277.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 295.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 313.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 331.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 349.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 367.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 385.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 403.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 421.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 439.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 457.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 475.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 493.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 511.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 529.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 547.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 565.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 583.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 601.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 619.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 637.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 655.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 673.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 691.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 709.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 727.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [128.0, 745.0, 751.0, 18.0], shoonya_2sKAM84TNLF90U, 5720136]
[paragraph, [131.0, 767.0, 751.0, 18.0], shoonya_4sTY6HNNPAND9B, 5720136]
[paragraph, [131.0, 785.0, 751.0, 18.0], shoonya_4sTY6HNNPAND9B, 5720136]
[paragraph, [131.0, 803.0, 751.0, 18.0], shoonya_4sTY6HNNPAND9B, 5720136]
[paragraph, [131.0, 821.0, 751.0, 18.0], shoonya_4sTY6HNNPAND9B, 5720136]
[paragraph, [131.0, 839.0, 751.0, 18.0], shoonya_4sTY6HNNPAND9B, 5720136]
[paragraph, [131.0, 857.0, 751.0, 18.0], shoonya_4sTY6HNNPAND9B, 5720136]
