[2339, 1653]
[folio, [1011.0, 148.0, 474.0, 36.0], KHE6349xvt, 5685476]
[folio, [1011.0, 184.0, 474.0, 36.0], KHE6349xvt, 5685476]
[section-title, [321.0, 585.0, 252.0, 52.5], shoonya_3s26MGQGOS0AB5, 5685476]
[sub-section-title, [317.0, 691.0, 359.0, 55.5], ceBYu1hkQ3, 5685476]
[paragraph, [314.0, 859.0, 1171.0, 36.0], shoonya_2sXGSKPTSFRF6O, 5685476]
[paragraph, [314.0, 895.0, 1171.0, 36.0], shoonya_2sXGSKPTSFRF6O, 5685476]
[paragraph, [314.0, 931.0, 1171.0, 36.0], shoonya_2sXGSKPTSFRF6O, 5685476]
[paragraph, [314.0, 967.0, 1171.0, 36.0], shoonya_2sXGSKPTSFRF6O, 5685476]
[paragraph, [316.0, 1024.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1060.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1096.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1132.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1168.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1204.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1240.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1276.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1312.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1348.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1384.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
[paragraph, [316.0, 1420.0, 1172.0, 36.0], shoonya_1s2SI7T0L2CWY8, 5685476]
