[792, 612]
[folio, [255.0, 44.0, 125.0, 18.0], 7OGClkoND1, 6495665]
[author, [142.0, 132.0, 119.0, 18.0], cwZBb7IC_a, 6495665]
[paragraph, [129.0, 167.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 185.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 203.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 221.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 239.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 257.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 275.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 293.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 311.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 329.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 347.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 365.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 383.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 401.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 419.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 437.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 455.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 473.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 491.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 509.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 527.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 545.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 563.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 581.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 599.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 617.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 635.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 653.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 671.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 689.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
[paragraph, [129.0, 707.0, 341.0, 18.0], JwRbX1vvGJ, 6495665]
