[612, 792]
[section-title, [323.0, 50.0, 182.0, 30.0], ZNC5hSd690, 6532873]
[paragraph, [82.0, 95.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 113.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 131.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 149.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 167.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 185.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 203.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 221.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 239.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 257.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 275.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 293.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 311.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 329.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [82.0, 347.0, 632.0, 18.0], shoonya_0sF708BQK7WVNH, 6532873]
[paragraph, [83.0, 379.0, 635.0, 18.0], H3Xh6f-eep, 6532873]
[paragraph, [83.0, 397.0, 635.0, 18.0], H3Xh6f-eep, 6532873]
[paragraph, [83.0, 415.0, 635.0, 18.0], H3Xh6f-eep, 6532873]
[paragraph, [83.0, 433.0, 635.0, 18.0], H3Xh6f-eep, 6532873]
[paragraph, [81.0, 464.0, 632.0, 18.0], ftGPOBiic-, 6532873]
[paragraph, [81.0, 482.0, 632.0, 18.0], ftGPOBiic-, 6532873]
[paragraph, [81.0, 500.0, 632.0, 18.0], ftGPOBiic-, 6532873]
