[2338, 1654]
[paragraph, [185.0, 191.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 227.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 263.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 299.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 335.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 371.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 407.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 443.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 479.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 515.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 551.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 587.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 623.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 659.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 695.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 731.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 767.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 803.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 839.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 875.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 911.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 947.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 983.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1019.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1055.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1091.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1127.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1163.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1199.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1235.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1271.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1307.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1343.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [185.0, 1379.0, 1182.0, 36.0], shoonya_1sVVJG9N6NCVSV, 5754128]
[paragraph, [189.0, 1442.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1478.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1514.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1550.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1586.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1622.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1658.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1694.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1730.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1766.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1802.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1838.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1874.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1910.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1946.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 1982.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 2018.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
[paragraph, [189.0, 2054.0, 1172.0, 36.0], shoonya_0sWY2WJTHJ52BY, 5754128]
