[1200, 825]
[paragraph, [137.0, 126.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 144.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 162.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 180.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 198.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 216.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 234.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 252.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 270.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 288.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 306.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 324.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 342.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 360.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [137.0, 378.0, 549.0, 18.0], shoonya_1sCAJDBL73UCMK, 5691404]
[paragraph, [138.0, 433.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 451.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 469.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 487.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 505.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 523.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 541.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 559.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 577.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 595.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 613.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 631.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 649.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 667.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 685.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 703.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 721.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 739.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 757.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 775.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 793.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 811.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 829.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 847.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 865.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 883.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [138.0, 901.0, 545.0, 18.0], shoonya_0sOO65I2Y7AU1J, 5691404]
[paragraph, [135.0, 922.0, 549.0, 18.0], shoonya_3s41NMHK5UWDHS, 5691404]
[paragraph, [135.0, 940.0, 549.0, 18.0], shoonya_3s41NMHK5UWDHS, 5691404]
[paragraph, [135.0, 958.0, 549.0, 18.0], shoonya_3s41NMHK5UWDHS, 5691404]
[paragraph, [135.0, 976.0, 549.0, 18.0], shoonya_3s41NMHK5UWDHS, 5691404]
[paragraph, [135.0, 994.0, 549.0, 18.0], shoonya_3s41NMHK5UWDHS, 5691404]
[paragraph, [135.0, 1012.0, 549.0, 18.0], shoonya_3s41NMHK5UWDHS, 5691404]
[paragraph, [135.0, 1030.0, 549.0, 18.0], shoonya_3s41NMHK5UWDHS, 5691404]
