[792, 612]
[folio, [134.0, 19.0, 332.0, 18.0], 6HET5lwnn6, 5653779]
[chapter-title, [116.0, 126.0, 94.0, 30.0], 7_4CnUSnF8, 5653779]
[chapter-title, [116.0, 156.0, 94.0, 30.0], 7_4CnUSnF8, 5653779]
[chapter-title, [116.0, 186.0, 94.0, 30.0], 7_4CnUSnF8, 5653779]
[paragraph, [170.0, 316.0, 146.0, 18.0], CsNdMdYNDU, 5653779]
[paragraph, [170.0, 334.0, 146.0, 18.0], CsNdMdYNDU, 5653779]
[paragraph, [170.0, 352.0, 146.0, 18.0], CsNdMdYNDU, 5653779]
[paragraph, [170.0, 370.0, 146.0, 18.0], CsNdMdYNDU, 5653779]
[paragraph, [170.0, 388.0, 146.0, 18.0], CsNdMdYNDU, 5653779]
[paragraph, [170.0, 406.0, 146.0, 18.0], CsNdMdYNDU, 5653779]
[paragraph, [372.0, 316.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 334.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 352.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 370.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 388.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 406.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 424.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 442.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 460.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[paragraph, [372.0, 478.0, 154.0, 18.0], shoonya_0s3F1LQ1GQON2N, 5653779]
[footnote, [82.0, 714.0, 446.0, 18.0], a4MrTB_5I3, 5653779]
