[1388, 886]
[folio, [661.0, 46.0, 184.0, 18.0], h70kTgfzCL, 5742818]
[folio, [661.0, 64.0, 184.0, 18.0], h70kTgfzCL, 5742818]
[folio, [390.0, 58.0, 88.0, 18.0], bPnvMkXh4e, 5742818]
[paragraph, [21.0, 118.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 136.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 154.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 172.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 190.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 208.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 226.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 244.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 262.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 280.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 298.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 316.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 334.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 352.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 370.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 388.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 406.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 424.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 442.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 460.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 478.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 496.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 514.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 532.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 550.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 568.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 586.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 604.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 622.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 640.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 658.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 676.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 694.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 712.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 730.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 748.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 766.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 784.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 802.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 820.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 838.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 856.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 874.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 892.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 910.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 928.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 946.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 964.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 982.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1000.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1018.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1036.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1054.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1072.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1090.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1108.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1126.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1144.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1162.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1180.0, 365.0, 18.0], E84dgpc76-, 5742818]
[paragraph, [21.0, 1198.0, 365.0, 18.0], E84dgpc76-, 5742818]
