[2339, 1656]
[paragraph, [190.0, 197.0, 1269.0, 36.0], shoonya_1sRWCXTXFWX4O9, 5730584]
[paragraph, [190.0, 233.0, 1269.0, 36.0], shoonya_1sRWCXTXFWX4O9, 5730584]
[paragraph, [190.0, 269.0, 1269.0, 36.0], shoonya_1sRWCXTXFWX4O9, 5730584]
[paragraph, [190.0, 305.0, 1269.0, 36.0], shoonya_1sRWCXTXFWX4O9, 5730584]
[paragraph, [190.0, 341.0, 1269.0, 36.0], shoonya_1sRWCXTXFWX4O9, 5730584]
[paragraph, [190.0, 377.0, 1269.0, 36.0], shoonya_1sRWCXTXFWX4O9, 5730584]
[paragraph, [183.0, 455.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 491.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 527.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 563.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 599.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 635.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 671.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 707.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 743.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 779.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 815.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 851.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 887.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 923.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 959.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 995.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1031.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1067.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1103.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1139.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1175.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1211.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1247.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1283.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1319.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1355.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1391.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1427.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1463.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1499.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1535.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1571.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1607.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1643.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1679.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1715.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1751.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1787.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1823.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1859.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1895.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1931.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 1967.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 2003.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
[paragraph, [183.0, 2039.0, 1292.0, 36.0], shoonya_0sQQ3VY80T7M17, 5730584]
