[1034, 680]
[folio, [229.0, 62.0, 206.0, 18.0], shoonya_0s9FAQP201WC0N, 5739441]
[folio, [229.0, 80.0, 206.0, 18.0], shoonya_0s9FAQP201WC0N, 5739441]
[paragraph, [70.0, 122.0, 538.0, 18.0], shoonya_2sHWVRUNWJ44B7, 5739441]
[paragraph, [70.0, 140.0, 538.0, 18.0], shoonya_2sHWVRUNWJ44B7, 5739441]
[paragraph, [70.0, 158.0, 538.0, 18.0], shoonya_2sHWVRUNWJ44B7, 5739441]
[paragraph, [70.0, 176.0, 538.0, 18.0], shoonya_2sHWVRUNWJ44B7, 5739441]
[paragraph, [70.0, 194.0, 538.0, 18.0], shoonya_2sHWVRUNWJ44B7, 5739441]
[paragraph, [70.0, 212.0, 538.0, 18.0], shoonya_2sHWVRUNWJ44B7, 5739441]
[paragraph, [70.0, 230.0, 538.0, 18.0], shoonya_2sHWVRUNWJ44B7, 5739441]
[paragraph, [70.0, 248.0, 538.0, 18.0], shoonya_2sHWVRUNWJ44B7, 5739441]
[paragraph, [71.0, 284.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 302.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 320.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 338.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 356.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 374.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 392.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 410.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 428.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 446.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 464.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 482.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 500.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 518.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 536.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 554.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 572.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 590.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 608.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 626.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 644.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 662.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 680.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 698.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 716.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 734.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 752.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 770.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 788.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 806.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [71.0, 824.0, 540.0, 18.0], shoonya_3sCUYP2BC38QG5, 5739441]
[paragraph, [64.0, 860.0, 544.0, 18.0], shoonya_1sOW79ZK4GZRS5, 5739441]
[paragraph, [64.0, 878.0, 544.0, 18.0], shoonya_1sOW79ZK4GZRS5, 5739441]
[paragraph, [64.0, 896.0, 544.0, 18.0], shoonya_1sOW79ZK4GZRS5, 5739441]
[paragraph, [64.0, 914.0, 544.0, 18.0], shoonya_1sOW79ZK4GZRS5, 5739441]
[paragraph, [64.0, 932.0, 544.0, 18.0], shoonya_1sOW79ZK4GZRS5, 5739441]
[paragraph, [64.0, 950.0, 544.0, 18.0], shoonya_1sOW79ZK4GZRS5, 5739441]
