[1752, 1240]
[placeholder-text, [848.0, 155.0, 319.0, 18.0], shoonya_16sFUCDYO4CGWM, 5707933]
[placeholder-text, [848.0, 173.0, 319.0, 18.0], shoonya_16sFUCDYO4CGWM, 5707933]
[section-title, [590.0, 195.0, 139.0, 49.5], j6Dcm_e_bV, 5707933]
[section-title, [590.0, 244.5, 139.0, 49.5], j6Dcm_e_bV, 5707933]
[ordered-list, [161.0, 390.0, 685.0, 36.0], shoonya_2sAOYHJSLPQSIR, 5707933]
[ordered-list, [161.0, 426.0, 685.0, 36.0], shoonya_2sAOYHJSLPQSIR, 5707933]
[ordered-list, [161.0, 462.0, 685.0, 36.0], shoonya_2sAOYHJSLPQSIR, 5707933]
[second-level-question, [201.0, 556.0, 934.0, 36.0], shoonya_13s3I1S2N6RN98, 5707933]
[second-level-question, [201.0, 592.0, 934.0, 36.0], shoonya_13s3I1S2N6RN98, 5707933]
[second-level-question, [218.0, 665.0, 482.0, 36.0], H89HFdgEtk, 5707933]
[second-level-question, [218.0, 717.0, 930.0, 36.0], m3rjQWMkZo, 5707933]
[second-level-question, [218.0, 753.0, 930.0, 36.0], m3rjQWMkZo, 5707933]
[second-level-question, [218.0, 789.0, 930.0, 36.0], m3rjQWMkZo, 5707933]
[second-level-question, [218.0, 825.0, 930.0, 36.0], m3rjQWMkZo, 5707933]
[third-level-question, [277.0, 741.0, 660.0, 18.0], PWb_OKj138, 5707933]
[third-level-question, [279.0, 769.0, 861.0, 18.0], 9JW5ei_NDk, 5707933]
[third-level-question, [279.0, 787.0, 861.0, 18.0], 9JW5ei_NDk, 5707933]
[third-level-question, [279.0, 805.0, 861.0, 18.0], 9JW5ei_NDk, 5707933]
[third-level-question, [279.0, 823.0, 861.0, 18.0], 9JW5ei_NDk, 5707933]
[third-level-question, [279.0, 846.0, 609.0, 18.0], n4Y1xbUWuY, 5707933]
[third-level-question, [279.0, 864.0, 609.0, 18.0], n4Y1xbUWuY, 5707933]
[second-level-question, [215.0, 891.0, 931.0, 36.0], tEk8TjQHCz, 5707933]
[second-level-question, [215.0, 927.0, 931.0, 36.0], tEk8TjQHCz, 5707933]
[second-level-question, [215.0, 963.0, 931.0, 36.0], tEk8TjQHCz, 5707933]
[second-level-question, [215.0, 999.0, 931.0, 36.0], tEk8TjQHCz, 5707933]
[third-level-question, [275.0, 914.0, 722.0, 18.0], XfkheIKj56, 5707933]
[third-level-question, [275.0, 932.0, 722.0, 18.0], XfkheIKj56, 5707933]
[third-level-question, [282.0, 955.0, 866.0, 18.0], -NcQ7613yk, 5707933]
[third-level-question, [282.0, 973.0, 866.0, 18.0], -NcQ7613yk, 5707933]
[third-level-question, [282.0, 991.0, 866.0, 18.0], -NcQ7613yk, 5707933]
[third-level-question, [282.0, 1021.0, 844.0, 18.0], XEjC3-3kTo, 5707933]
[third-level-question, [282.0, 1039.0, 844.0, 18.0], XEjC3-3kTo, 5707933]
[second-level-question, [218.0, 1103.0, 940.0, 36.0], hcSdviHPSs, 5707933]
[second-level-question, [218.0, 1139.0, 940.0, 36.0], hcSdviHPSs, 5707933]
[second-level-question, [224.0, 1283.0, 923.0, 36.0], VmVpLeh0R6, 5707933]
[second-level-question, [224.0, 1319.0, 923.0, 36.0], VmVpLeh0R6, 5707933]
[second-level-question, [224.0, 1355.0, 923.0, 36.0], VmVpLeh0R6, 5707933]
[second-level-question, [224.0, 1391.0, 923.0, 36.0], VmVpLeh0R6, 5707933]
[second-level-question, [224.0, 1427.0, 923.0, 36.0], VmVpLeh0R6, 5707933]
[third-level-question, [282.0, 1303.0, 867.0, 18.0], zUAlhx1wzY, 5707933]
[third-level-question, [282.0, 1321.0, 867.0, 18.0], zUAlhx1wzY, 5707933]
[third-level-question, [282.0, 1339.0, 867.0, 18.0], zUAlhx1wzY, 5707933]
[third-level-question, [280.0, 1370.0, 869.0, 18.0], wAfuiDm8gk, 5707933]
[third-level-question, [280.0, 1388.0, 869.0, 18.0], wAfuiDm8gk, 5707933]
[third-level-question, [280.0, 1406.0, 869.0, 18.0], wAfuiDm8gk, 5707933]
[third-level-question, [280.0, 1424.0, 869.0, 18.0], wAfuiDm8gk, 5707933]
[third-level-question, [285.0, 1454.0, 768.0, 18.0], i8ZRqSPQzg, 5707933]
