[1347, 847]
[paragraph, [35.0, 31.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 49.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 67.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 85.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 103.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 121.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 139.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 157.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 175.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [35.0, 193.0, 768.0, 18.0], vHQhTlYvQn, 5660413]
[paragraph, [38.0, 224.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [38.0, 242.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [38.0, 260.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [38.0, 278.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [38.0, 296.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [38.0, 314.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [38.0, 332.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [38.0, 350.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [38.0, 368.0, 763.0, 18.0], 6kwzrVBqZ9, 5660413]
[paragraph, [43.0, 400.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 418.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 436.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 454.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 472.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 490.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 508.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 526.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 544.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 562.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 580.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 598.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 616.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 634.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 652.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 670.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 688.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 706.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 724.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 742.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 760.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 778.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 796.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 814.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 832.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 850.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 868.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 886.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 904.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [43.0, 922.0, 772.0, 18.0], QY1bBgnYnO, 5660413]
[paragraph, [44.0, 943.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 961.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 979.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 997.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 1015.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 1033.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 1051.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 1069.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 1087.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
[paragraph, [44.0, 1105.0, 766.0, 18.0], 4-EIynl4jZ, 5660413]
