[1754, 1241]
[answer, [136.0, 141.0, 469.0, 36.0], shoonya_2sMZ2J2WHN8I4S, 5715700]
[answer, [136.0, 177.0, 469.0, 36.0], shoonya_2sMZ2J2WHN8I4S, 5715700]
[answer, [136.0, 213.0, 469.0, 36.0], shoonya_2sMZ2J2WHN8I4S, 5715700]
[answer, [136.0, 249.0, 469.0, 36.0], shoonya_2sMZ2J2WHN8I4S, 5715700]
[answer, [127.0, 408.0, 486.0, 36.0], shoonya_4sGEM3UBSGDE63, 5715700]
[answer, [127.0, 444.0, 486.0, 36.0], shoonya_4sGEM3UBSGDE63, 5715700]
[answer, [127.0, 480.0, 486.0, 36.0], shoonya_4sGEM3UBSGDE63, 5715700]
[answer, [127.0, 516.0, 486.0, 36.0], shoonya_4sGEM3UBSGDE63, 5715700]
[answer, [127.0, 552.0, 486.0, 36.0], shoonya_4sGEM3UBSGDE63, 5715700]
[answer, [127.0, 588.0, 486.0, 36.0], shoonya_4sGEM3UBSGDE63, 5715700]
[answer, [127.0, 624.0, 486.0, 36.0], shoonya_4sGEM3UBSGDE63, 5715700]
[answer, [108.0, 833.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 869.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 905.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 941.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 977.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 1013.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 1049.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 1085.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 1121.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [108.0, 1157.0, 512.0, 36.0], shoonya_1sXHV306XSZ22E, 5715700]
[answer, [112.0, 1284.0, 503.0, 36.0], aDmb74fLr0, 5715700]
[answer, [112.0, 1320.0, 503.0, 36.0], aDmb74fLr0, 5715700]
[answer, [140.0, 1425.0, 471.0, 36.0], shoonya_3s7DP0JRDR1NDC, 5715700]
[answer, [140.0, 1461.0, 471.0, 36.0], shoonya_3s7DP0JRDR1NDC, 5715700]
[answer, [140.0, 1497.0, 471.0, 36.0], shoonya_3s7DP0JRDR1NDC, 5715700]
[answer, [140.0, 1533.0, 471.0, 36.0], shoonya_3s7DP0JRDR1NDC, 5715700]
[answer, [140.0, 1569.0, 471.0, 36.0], shoonya_3s7DP0JRDR1NDC, 5715700]
[answer, [140.0, 1605.0, 471.0, 36.0], shoonya_3s7DP0JRDR1NDC, 5715700]
