[1447, 1063]
[folio, [403.0, 46.0, 265.0, 18.0], cBwLsI-mqN, 5762924]
[folio, [403.0, 64.0, 265.0, 18.0], cBwLsI-mqN, 5762924]
[paragraph, [522.0, 679.0, 445.0, 18.0], OwvV0k3wvf, 5762924]
[paragraph, [87.0, 681.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 699.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 717.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 735.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 753.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 771.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 789.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 807.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 825.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 843.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 861.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 879.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 897.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 915.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 933.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 951.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 969.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 987.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 1005.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 1023.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 1041.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [87.0, 1059.0, 434.0, 18.0], ISQA_7-S5b, 5762924]
[paragraph, [524.0, 713.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 731.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 749.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 767.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 785.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 803.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 821.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 839.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 857.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 875.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 893.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 911.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 929.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 947.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 965.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [524.0, 983.0, 445.0, 18.0], 9g9UfTxcdp, 5762924]
[paragraph, [522.0, 1019.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1037.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1055.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1073.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1091.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1109.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1127.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1145.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1163.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1181.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1199.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1217.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1235.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1253.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1271.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1289.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1307.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
[paragraph, [522.0, 1325.0, 445.0, 18.0], Wb4Goj0VXA, 5762924]
