[2200, 1700]
[paragraph, [277.0, 227.0, 1030.0, 36.0], shoonya_0s0D60LBO3KQLO, 5651435]
[paragraph, [277.0, 263.0, 1030.0, 36.0], shoonya_0s0D60LBO3KQLO, 5651435]
[paragraph, [277.0, 299.0, 1030.0, 36.0], shoonya_0s0D60LBO3KQLO, 5651435]
[paragraph, [277.0, 335.0, 1030.0, 36.0], shoonya_0s0D60LBO3KQLO, 5651435]
[paragraph, [277.0, 371.0, 1030.0, 36.0], shoonya_0s0D60LBO3KQLO, 5651435]
[paragraph, [277.0, 407.0, 1030.0, 36.0], shoonya_0s0D60LBO3KQLO, 5651435]
[paragraph, [277.0, 443.0, 1030.0, 36.0], shoonya_0s0D60LBO3KQLO, 5651435]
[paragraph, [277.0, 479.0, 1030.0, 36.0], shoonya_0s0D60LBO3KQLO, 5651435]
[paragraph, [278.0, 532.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 568.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 604.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 640.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 676.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 712.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 748.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 784.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 820.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [278.0, 856.0, 1031.0, 36.0], shoonya_2sHZNIP8S80E89, 5651435]
[paragraph, [284.0, 907.0, 1026.0, 36.0], shoonya_3sGTWCGQDIP7XZ, 5651435]
[paragraph, [284.0, 943.0, 1026.0, 36.0], shoonya_3sGTWCGQDIP7XZ, 5651435]
[paragraph, [284.0, 979.0, 1026.0, 36.0], shoonya_3sGTWCGQDIP7XZ, 5651435]
[paragraph, [284.0, 1015.0, 1026.0, 36.0], shoonya_3sGTWCGQDIP7XZ, 5651435]
[paragraph, [284.0, 1051.0, 1026.0, 36.0], shoonya_3sGTWCGQDIP7XZ, 5651435]
[paragraph, [284.0, 1087.0, 1026.0, 36.0], shoonya_3sGTWCGQDIP7XZ, 5651435]
[paragraph, [285.0, 1151.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1187.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1223.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1259.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1295.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1331.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1367.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1403.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1439.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1475.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1511.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1547.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1583.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1619.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1655.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1691.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1727.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1763.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[paragraph, [285.0, 1799.0, 1032.0, 36.0], shoonya_1sZBH2ZNYZMTNZ, 5651435]
[folio, [1113.0, 1889.0, 112.0, 36.0], lwPlFsASAk, 5651435]
