[521, 332]
[chapter-title, [107.0, 120.0, 118.0, 30.0], shoonya_2s68OPMA8LLCCA, 6533297]
[paragraph, [23.0, 166.0, 277.0, 18.0], shoonya_1s92WHXH3S4B2D, 6533297]
[paragraph, [23.0, 184.0, 277.0, 18.0], shoonya_1s92WHXH3S4B2D, 6533297]
[paragraph, [23.0, 202.0, 277.0, 18.0], shoonya_1s92WHXH3S4B2D, 6533297]
[paragraph, [23.0, 220.0, 277.0, 18.0], shoonya_1s92WHXH3S4B2D, 6533297]
[paragraph, [23.0, 238.0, 277.0, 18.0], shoonya_1s92WHXH3S4B2D, 6533297]
[paragraph, [20.0, 264.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 282.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 300.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 318.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 336.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 354.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 372.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 390.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 408.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
[paragraph, [20.0, 426.0, 286.0, 18.0], shoonya_0s3PPN1C9FS2Y8, 6533297]
