[766, 567]
[headline, [60.0, 402.0, 439.0, 25.5], shoonya_2s7RKA6ENS1FLQ, 5771683]
[paragraph, [39.0, 463.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 481.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 499.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 517.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 535.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 553.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 571.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 589.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 607.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 625.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 643.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [39.0, 661.0, 183.0, 18.0], pPr99RaDUG, 5771683]
[paragraph, [257.0, 463.0, 238.0, 18.0], shoonya_6sL50XBQV6TZ5A, 5771683]
[paragraph, [257.0, 481.0, 238.0, 18.0], shoonya_6sL50XBQV6TZ5A, 5771683]
[paragraph, [257.0, 499.0, 238.0, 18.0], shoonya_6sL50XBQV6TZ5A, 5771683]
[paragraph, [257.0, 517.0, 238.0, 18.0], shoonya_6sL50XBQV6TZ5A, 5771683]
[paragraph, [257.0, 535.0, 238.0, 18.0], shoonya_6sL50XBQV6TZ5A, 5771683]
[paragraph, [257.0, 553.0, 238.0, 18.0], shoonya_6sL50XBQV6TZ5A, 5771683]
[paragraph, [257.0, 571.0, 238.0, 18.0], shoonya_6sL50XBQV6TZ5A, 5771683]
[paragraph, [257.0, 589.0, 238.0, 18.0], shoonya_6sL50XBQV6TZ5A, 5771683]
[paragraph, [257.0, 606.0, 235.0, 18.0], shoonya_4sKTFHGR1ICQBM, 5771683]
[paragraph, [257.0, 624.0, 235.0, 18.0], shoonya_4sKTFHGR1ICQBM, 5771683]
[paragraph, [257.0, 642.0, 235.0, 18.0], shoonya_4sKTFHGR1ICQBM, 5771683]
