[2180, 1639]
[paragraph, [839.0, 150.0, 738.0, 36.0], shoonya_3sWI3N5J83AQM2, 5654061]
[paragraph, [839.0, 186.0, 738.0, 36.0], shoonya_3sWI3N5J83AQM2, 5654061]
[paragraph, [839.0, 222.0, 738.0, 36.0], shoonya_3sWI3N5J83AQM2, 5654061]
[paragraph, [839.0, 258.0, 738.0, 36.0], shoonya_3sWI3N5J83AQM2, 5654061]
[paragraph, [839.0, 294.0, 738.0, 36.0], shoonya_3sWI3N5J83AQM2, 5654061]
[paragraph, [839.0, 330.0, 738.0, 36.0], shoonya_3sWI3N5J83AQM2, 5654061]
[paragraph, [839.0, 366.0, 738.0, 36.0], shoonya_3sWI3N5J83AQM2, 5654061]
[paragraph, [31.0, 154.0, 773.0, 36.0], shoonya_6sEOAB4XVL6P7D, 5654061]
[paragraph, [31.0, 190.0, 773.0, 36.0], shoonya_6sEOAB4XVL6P7D, 5654061]
[paragraph, [31.0, 226.0, 773.0, 36.0], shoonya_6sEOAB4XVL6P7D, 5654061]
[paragraph, [31.0, 262.0, 773.0, 36.0], shoonya_6sEOAB4XVL6P7D, 5654061]
[paragraph, [10.0, 304.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 340.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 376.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 412.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 448.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 484.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 520.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 556.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 592.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 628.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 664.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
[paragraph, [10.0, 700.0, 815.0, 36.0], shoonya_0sSF13TH9QIXHK, 5654061]
