[690, 512]
[folio, [197.0, 43.0, 105.0, 18.0], 7F35VLQ6kZ, 6491440]
[headline, [85.0, 71.0, 330.0, 25.5], shoonya_0s8HBBXC3IE9FB, 6491440]
[ordered-list, [16.0, 138.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 156.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 174.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 192.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 210.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 228.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 246.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 264.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 282.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 300.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 318.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 336.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 354.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 372.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 390.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 408.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 426.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 444.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 462.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 480.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 498.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 516.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 534.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 552.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 570.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 588.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 606.0, 466.0, 18.0], heFWP3i0ih, 6491440]
[ordered-list, [16.0, 624.0, 466.0, 18.0], heFWP3i0ih, 6491440]
