[3509, 2482]
[folio, [895.0, 277.0, 445.0, 52.5], shoonya_3s4TAO1D809ZMX, 5691840]
[paragraph, [234.0, 408.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 460.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 513.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 565.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 618.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 670.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 723.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 775.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 828.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 880.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 933.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 985.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 1038.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 1090.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 1143.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 1195.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 1248.0, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [234.0, 1300.5, 1734.0, 52.5], shoonya_2sNDEH0EN3NGY2, 5691840]
[paragraph, [237.0, 1389.0, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1441.5, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1494.0, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1546.5, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1599.0, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1651.5, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1704.0, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1756.5, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1809.0, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1861.5, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [237.0, 1914.0, 1747.0, 52.5], shoonya_0s829N2GJ5WJ2X, 5691840]
[paragraph, [238.0, 1993.0, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2045.5, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2098.0, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2150.5, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2203.0, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2255.5, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2308.0, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2360.5, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2413.0, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [238.0, 2465.5, 1717.0, 52.5], shoonya_1sHD1HTT3YZPX9, 5691840]
[paragraph, [272.0, 2524.0, 1655.0, 52.5], Gs6Yk40U9V, 5691840]
[paragraph, [272.0, 2576.5, 1655.0, 52.5], Gs6Yk40U9V, 5691840]
[paragraph, [272.0, 2629.0, 1655.0, 52.5], Gs6Yk40U9V, 5691840]
[paragraph, [272.0, 2681.5, 1655.0, 52.5], Gs6Yk40U9V, 5691840]
[paragraph, [272.0, 2734.0, 1655.0, 52.5], Gs6Yk40U9V, 5691840]
[paragraph, [350.0, 2816.0, 1382.0, 52.5], 4EAvpaw_c5, 5691840]
[paragraph, [283.0, 2897.0, 1644.0, 52.5], rAe51BHjPj, 5691840]
[paragraph, [283.0, 2949.5, 1644.0, 52.5], rAe51BHjPj, 5691840]
[paragraph, [283.0, 3002.0, 1644.0, 52.5], rAe51BHjPj, 5691840]
[paragraph, [283.0, 3054.5, 1644.0, 52.5], rAe51BHjPj, 5691840]
[paragraph, [346.0, 3121.0, 649.0, 52.5], Uelr_m4tYc, 5691840]
[paragraph, [332.0, 3199.0, 1610.0, 52.5], shoonya_6s47G9SEII1HF9, 5691840]
