[1650, 1275]
[folio, [728.0, 81.0, 413.0, 36.0], shoonya_0sJAJ5CKVPA0HY, 5714126]
[paragraph, [212.0, 164.0, 950.0, 36.0], shoonya_2sMHM0V8Q765K0, 5714126]
[paragraph, [212.0, 200.0, 950.0, 36.0], shoonya_2sMHM0V8Q765K0, 5714126]
[paragraph, [212.0, 236.0, 950.0, 36.0], shoonya_2sMHM0V8Q765K0, 5714126]
[paragraph, [212.0, 272.0, 950.0, 36.0], shoonya_2sMHM0V8Q765K0, 5714126]
[paragraph, [212.0, 308.0, 950.0, 36.0], shoonya_2sMHM0V8Q765K0, 5714126]
[paragraph, [212.0, 344.0, 950.0, 36.0], shoonya_2sMHM0V8Q765K0, 5714126]
[paragraph, [212.0, 380.0, 950.0, 36.0], shoonya_2sMHM0V8Q765K0, 5714126]
[paragraph, [212.0, 416.0, 950.0, 36.0], shoonya_2sMHM0V8Q765K0, 5714126]
[paragraph, [210.0, 471.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 507.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 543.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 579.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 615.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 651.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 687.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 723.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 759.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 795.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 831.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 867.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [210.0, 903.0, 956.0, 36.0], r4z0irV00Q, 5714126]
[paragraph, [216.0, 972.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1008.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1044.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1080.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1116.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1152.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1188.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1224.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1260.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1296.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [216.0, 1332.0, 949.0, 36.0], iQuNlO2P_U, 5714126]
[paragraph, [210.0, 1383.0, 957.0, 36.0], QecCAuJ4to, 5714126]
[paragraph, [210.0, 1419.0, 957.0, 36.0], QecCAuJ4to, 5714126]
[paragraph, [210.0, 1455.0, 957.0, 36.0], QecCAuJ4to, 5714126]
