[792, 612]
[section-title, [202.0, 110.0, 201.0, 30.0], shoonya_3s8RAS241N4CTA, 6493103]
[paragraph, [96.0, 173.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 191.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 209.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 227.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 245.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 263.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 281.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 299.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 317.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 335.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 353.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [96.0, 371.0, 416.0, 18.0], shoonya_0sQR9U2JJR3T5E, 6493103]
[paragraph, [95.0, 401.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 419.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 437.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 455.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 473.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 491.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 509.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 527.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 545.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 563.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 581.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 599.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 617.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 635.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 653.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 671.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 689.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 707.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
[paragraph, [95.0, 725.0, 426.0, 18.0], shoonya_1sW8G6JJD3FM17, 6493103]
