[1725, 1313]
[sidebar, [127.0, 145.0, 517.0, 36.0], shoonya_7sATFHEEO5YOUH, 5771515]
[sidebar, [127.0, 181.0, 517.0, 36.0], shoonya_7sATFHEEO5YOUH, 5771515]
[sidebar, [127.0, 217.0, 517.0, 36.0], shoonya_7sATFHEEO5YOUH, 5771515]
[sidebar, [127.0, 253.0, 517.0, 36.0], shoonya_7sATFHEEO5YOUH, 5771515]
[sidebar, [127.0, 289.0, 517.0, 36.0], shoonya_7sATFHEEO5YOUH, 5771515]
[sidebar, [127.0, 325.0, 517.0, 36.0], shoonya_7sATFHEEO5YOUH, 5771515]
[sidebar, [127.0, 361.0, 517.0, 36.0], shoonya_7sATFHEEO5YOUH, 5771515]
[paragraph, [654.0, 188.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 224.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 260.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 296.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 332.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 368.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 404.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 440.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 476.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 512.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 548.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 584.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 620.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 656.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 692.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 728.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 764.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 800.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 836.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 872.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [654.0, 908.0, 538.0, 36.0], shoonya_2sUT1F2MP7MYAA, 5771515]
[paragraph, [116.0, 407.0, 533.0, 36.0], shoonya_5s4ZEYOGEK0G7I, 5771515]
[paragraph, [116.0, 443.0, 533.0, 36.0], shoonya_5s4ZEYOGEK0G7I, 5771515]
[paragraph, [116.0, 479.0, 533.0, 36.0], shoonya_5s4ZEYOGEK0G7I, 5771515]
[paragraph, [116.0, 515.0, 533.0, 36.0], shoonya_5s4ZEYOGEK0G7I, 5771515]
[paragraph, [116.0, 551.0, 533.0, 36.0], shoonya_5s4ZEYOGEK0G7I, 5771515]
[paragraph, [118.0, 615.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 651.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 687.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 723.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 759.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 795.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 831.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 867.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 903.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
[paragraph, [118.0, 939.0, 532.0, 36.0], shoonya_1sYYUZLBBIE7HM, 5771515]
