[1754, 1241]
[folio, [904.0, 119.0, 162.0, 36.0], X0qNuhPaVp, 5728394]
[reference, [228.0, 190.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 226.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 262.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 298.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 334.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 370.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 406.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 442.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 478.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 514.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 550.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 586.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 622.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 658.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 694.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 730.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 766.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 802.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 838.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 874.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 910.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 946.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 982.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1018.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1054.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1090.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1126.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1162.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1198.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1234.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1270.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1306.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1342.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1378.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
[reference, [228.0, 1414.0, 834.0, 36.0], shoonya_0sUIFWODGS8S75, 5728394]
