[1372, 849]
[section-title, [342.0, 69.0, 175.0, 30.0], shoonya_0sE37ROV9S2N1S, 5710343]
[paragraph, [60.0, 145.0, 719.0, 18.0], Qugm6X8m6f, 5710343]
[paragraph, [60.0, 163.0, 719.0, 18.0], Qugm6X8m6f, 5710343]
[paragraph, [61.0, 190.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 208.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 226.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 244.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 262.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 280.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 298.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 316.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 334.0, 721.0, 18.0], FPCi3gdm1n, 5710343]
[paragraph, [61.0, 368.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 386.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 404.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 422.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 440.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 458.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 476.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 494.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 512.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 530.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 548.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 566.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 584.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 602.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 620.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 638.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 656.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 674.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 692.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
[paragraph, [61.0, 710.0, 723.0, 18.0], nQpqDEnGZv, 5710343]
