[1365, 831]
[folio, [86.0, 51.0, 130.0, 18.0], shoonya_0sQU3KZ2AXMHJA, 5781796]
[folio, [86.0, 69.0, 130.0, 18.0], shoonya_0sQU3KZ2AXMHJA, 5781796]
[folio, [86.0, 87.0, 130.0, 18.0], shoonya_0sQU3KZ2AXMHJA, 5781796]
[section-title, [281.0, 103.0, 275.0, 30.0], m9zPZszjfr, 5781796]
[paragraph, [56.0, 147.0, 692.0, 18.0], U0mFG192gs, 5781796]
[paragraph, [56.0, 165.0, 692.0, 18.0], U0mFG192gs, 5781796]
[paragraph, [56.0, 183.0, 692.0, 18.0], U0mFG192gs, 5781796]
[paragraph, [59.0, 220.0, 687.0, 18.0], X_F6hK1BoS, 5781796]
[paragraph, [59.0, 238.0, 687.0, 18.0], X_F6hK1BoS, 5781796]
[ordered-list, [60.0, 276.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 294.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 312.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 330.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 348.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 366.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 384.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 402.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 420.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 438.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 456.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 474.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 492.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 510.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 528.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 546.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 564.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 582.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 600.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 618.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 636.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 654.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 672.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 690.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 708.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 726.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 744.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 762.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 780.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 798.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 816.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 834.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 852.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 870.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 888.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 906.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 924.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 942.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 960.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 978.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 996.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 1014.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 1032.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 1050.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 1068.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 1086.0, 686.0, 18.0], je3rjOLddf, 5781796]
[ordered-list, [60.0, 1104.0, 686.0, 18.0], je3rjOLddf, 5781796]
