[2338, 1654]
[paragraph, [172.0, 186.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 222.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 258.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 294.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 330.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 366.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 402.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 438.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 474.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 510.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 546.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 582.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 618.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 654.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 690.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 726.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 762.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 798.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 834.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 870.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 906.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [172.0, 942.0, 1319.0, 36.0], shoonya_0s7324VJYI9TLU, 5753482]
[paragraph, [372.0, 951.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 987.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1023.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1059.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1095.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1131.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1167.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1203.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1239.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1275.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1311.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1347.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1383.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1419.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1455.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1491.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1527.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1563.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1599.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1635.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1671.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1707.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1743.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1779.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1815.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1851.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1887.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1923.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1959.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 1995.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 2031.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[paragraph, [372.0, 2067.0, 532.0, 36.0], caPaZLcQx_, 5753482]
[author, [786.0, 1961.0, 592.0, 36.0], Pzj_hBJE5-, 5753482]
