[1755, 1240]
[paragraph, [197.0, 125.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 161.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 197.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 233.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 269.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 305.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 341.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 377.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 413.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 449.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 485.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 521.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 557.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 593.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 629.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 665.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 701.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 737.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 773.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 809.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 845.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 881.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 917.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 953.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 989.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1025.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1061.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1097.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1133.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1169.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1205.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1241.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1277.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1313.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1349.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1385.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1421.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1457.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1493.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
[paragraph, [197.0, 1529.0, 927.0, 36.0], shoonya_0s8UPR18S4VSTG, 5693097]
