[3508, 2481]
[section-title, [869.0, 103.0, 729.0, 93.0], shoonya_0sJIYXCYEN6THU, 6534627]
[sub-section-title, [215.0, 372.0, 960.0, 73.5], ND0HMpApuQ, 6534627]
[placeholder-text, [1989.0, 607.0, 259.0, 18.0], KeVa3mVESy, 6534627]
[placeholder-text, [1989.0, 625.0, 259.0, 18.0], KeVa3mVESy, 6534627]
[placeholder-text, [1989.0, 643.0, 259.0, 18.0], KeVa3mVESy, 6534627]
[placeholder-text, [1989.0, 661.0, 259.0, 18.0], KeVa3mVESy, 6534627]
[paragraph, [215.0, 873.0, 312.0, 52.5], 6FdQLDTr4e, 6534627]
[paragraph, [225.0, 998.0, 2033.0, 52.5], 6cYQlaMs_v, 6534627]
[paragraph, [225.0, 1050.5, 2033.0, 52.5], 6cYQlaMs_v, 6534627]
[paragraph, [225.0, 1103.0, 2033.0, 52.5], 6cYQlaMs_v, 6534627]
[paragraph, [225.0, 1155.5, 2033.0, 52.5], 6cYQlaMs_v, 6534627]
[paragraph, [225.0, 1208.0, 2033.0, 52.5], 6cYQlaMs_v, 6534627]
[paragraph, [225.0, 1260.5, 2033.0, 52.5], 6cYQlaMs_v, 6534627]
[unordered-list, [297.0, 1405.0, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[unordered-list, [297.0, 1457.5, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[unordered-list, [297.0, 1510.0, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[unordered-list, [297.0, 1562.5, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[unordered-list, [297.0, 1615.0, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[unordered-list, [297.0, 1667.5, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[unordered-list, [297.0, 1720.0, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[unordered-list, [297.0, 1772.5, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[unordered-list, [297.0, 1825.0, 1961.0, 52.5], Q19F3ZzfXe, 6534627]
[author, [1911.0, 2275.0, 356.0, 52.5], i11ldEkTKz, 6534627]
[author, [1911.0, 2327.5, 356.0, 52.5], i11ldEkTKz, 6534627]
[contact-info, [954.0, 3282.0, 560.0, 52.5], RoL3ZUOwsl, 6534627]
