[1425, 1088]
[paragraph, [135.0, 88.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 106.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 124.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 142.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 160.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 178.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 196.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 214.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 232.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 250.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 268.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 286.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 304.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 322.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 340.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [135.0, 358.0, 857.0, 18.0], shoonya_1sYRR4L0LG49DN, 5758898]
[paragraph, [137.0, 382.0, 856.0, 18.0], 5MDRJOK1Xp, 5758898]
[paragraph, [137.0, 400.0, 856.0, 18.0], 5MDRJOK1Xp, 5758898]
[paragraph, [137.0, 418.0, 856.0, 18.0], 5MDRJOK1Xp, 5758898]
[paragraph, [137.0, 436.0, 856.0, 18.0], 5MDRJOK1Xp, 5758898]
[paragraph, [137.0, 454.0, 856.0, 18.0], 5MDRJOK1Xp, 5758898]
[paragraph, [137.0, 472.0, 856.0, 18.0], 5MDRJOK1Xp, 5758898]
[paragraph, [137.0, 490.0, 856.0, 18.0], 5MDRJOK1Xp, 5758898]
[paragraph, [137.0, 508.0, 856.0, 18.0], 5MDRJOK1Xp, 5758898]
[paragraph, [140.0, 549.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 567.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 585.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 603.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 621.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 639.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 657.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 675.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 693.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [140.0, 711.0, 845.0, 18.0], NWDPPnIGPA, 5758898]
[paragraph, [137.0, 747.0, 850.0, 18.0], 2nSB_IUtww, 5758898]
[paragraph, [137.0, 765.0, 850.0, 18.0], 2nSB_IUtww, 5758898]
[paragraph, [137.0, 783.0, 850.0, 18.0], 2nSB_IUtww, 5758898]
[paragraph, [137.0, 801.0, 850.0, 18.0], 2nSB_IUtww, 5758898]
[paragraph, [137.0, 819.0, 850.0, 18.0], 2nSB_IUtww, 5758898]
[section-title, [227.0, 891.0, 403.0, 30.0], Nl_sSygMvn, 5758898]
[figure-caption, [435.0, 1246.0, 258.0, 18.0], shoonya_3sASG25MYLZNJN, 5758898]
[footnote, [830.0, 1348.0, 147.0, 18.0], shoonya_4s6804FCWM849X, 5758898]
