[1987, 1270]
[folio, [556.0, 121.0, 148.0, 36.0], shoonya_8sK426YG94XRA2, 5683146]
[paragraph, [127.0, 190.0, 1014.0, 36.0], shoonya_2sDB9LHZOKLPOJ, 5683146]
[paragraph, [127.0, 226.0, 1014.0, 36.0], shoonya_2sDB9LHZOKLPOJ, 5683146]
[paragraph, [127.0, 262.0, 1014.0, 36.0], shoonya_2sDB9LHZOKLPOJ, 5683146]
[paragraph, [127.0, 298.0, 1014.0, 36.0], shoonya_2sDB9LHZOKLPOJ, 5683146]
[paragraph, [127.0, 348.0, 1013.0, 36.0], shoonya_1sHJCE0JFVNI41, 5683146]
[paragraph, [127.0, 384.0, 1013.0, 36.0], shoonya_1sHJCE0JFVNI41, 5683146]
[paragraph, [127.0, 420.0, 1013.0, 36.0], shoonya_1sHJCE0JFVNI41, 5683146]
[paragraph, [127.0, 456.0, 1013.0, 36.0], shoonya_1sHJCE0JFVNI41, 5683146]
[paragraph, [127.0, 492.0, 1013.0, 36.0], shoonya_1sHJCE0JFVNI41, 5683146]
[paragraph, [127.0, 559.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 595.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 631.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 667.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 703.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 739.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 775.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 811.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 847.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 883.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 919.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 955.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 991.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [127.0, 1027.0, 1016.0, 36.0], shoonya_4sS009W7B494EC, 5683146]
[paragraph, [130.0, 1083.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1119.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1155.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1191.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1227.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1263.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1299.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1335.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1371.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1407.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [130.0, 1443.0, 1009.0, 36.0], shoonya_0sGINSQKY9KGFT, 5683146]
[paragraph, [132.0, 1503.0, 1005.0, 36.0], shoonya_3s85SGQB8OMDN7, 5683146]
[paragraph, [132.0, 1539.0, 1005.0, 36.0], shoonya_3s85SGQB8OMDN7, 5683146]
[paragraph, [133.0, 1607.0, 1007.0, 36.0], shoonya_5sMS3PI09KMTIF, 5683146]
[paragraph, [133.0, 1643.0, 1007.0, 36.0], shoonya_5sMS3PI09KMTIF, 5683146]
[paragraph, [133.0, 1679.0, 1007.0, 36.0], shoonya_5sMS3PI09KMTIF, 5683146]
[paragraph, [133.0, 1715.0, 1007.0, 36.0], shoonya_5sMS3PI09KMTIF, 5683146]
[paragraph, [133.0, 1751.0, 1007.0, 36.0], shoonya_5sMS3PI09KMTIF, 5683146]
[paragraph, [172.0, 1816.0, 968.0, 36.0], shoonya_6s3PR5WR3811DI, 5683146]
