[1787, 1218]
[paragraph, [105.0, 100.0, 1024.0, 36.0], KVk3jpJ6KR, 5652305]
[paragraph, [105.0, 136.0, 1024.0, 36.0], KVk3jpJ6KR, 5652305]
[paragraph, [105.0, 172.0, 1024.0, 36.0], KVk3jpJ6KR, 5652305]
[paragraph, [304.0, 217.0, 463.0, 36.0], shoonya_2sH7B9WQQ7QTCS, 5652305]
[paragraph, [304.0, 253.0, 463.0, 36.0], shoonya_2sH7B9WQQ7QTCS, 5652305]
[paragraph, [304.0, 289.0, 463.0, 36.0], shoonya_2sH7B9WQQ7QTCS, 5652305]
[paragraph, [304.0, 325.0, 463.0, 36.0], shoonya_2sH7B9WQQ7QTCS, 5652305]
[paragraph, [88.0, 374.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 410.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 446.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 482.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 518.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 554.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 590.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 626.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 662.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 698.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [88.0, 734.0, 1048.0, 36.0], shoonya_1sN87MWTZK91SD, 5652305]
[paragraph, [90.0, 808.0, 1032.0, 36.0], shoonya_3sAMPG2FCM9U9G, 5652305]
[paragraph, [90.0, 844.0, 1032.0, 36.0], shoonya_3sAMPG2FCM9U9G, 5652305]
[paragraph, [90.0, 880.0, 1032.0, 36.0], shoonya_3sAMPG2FCM9U9G, 5652305]
[paragraph, [90.0, 916.0, 1032.0, 36.0], shoonya_3sAMPG2FCM9U9G, 5652305]
[paragraph, [90.0, 952.0, 1032.0, 36.0], shoonya_3sAMPG2FCM9U9G, 5652305]
[paragraph, [90.0, 988.0, 1032.0, 36.0], shoonya_3sAMPG2FCM9U9G, 5652305]
[paragraph, [90.0, 1024.0, 1032.0, 36.0], shoonya_3sAMPG2FCM9U9G, 5652305]
[paragraph, [90.0, 1060.0, 1032.0, 36.0], shoonya_3sAMPG2FCM9U9G, 5652305]
[paragraph, [102.0, 1168.0, 1009.0, 36.0], shoonya_0sHI3Y4QM1SR92, 5652305]
[paragraph, [102.0, 1204.0, 1009.0, 36.0], shoonya_0sHI3Y4QM1SR92, 5652305]
[paragraph, [102.0, 1240.0, 1009.0, 36.0], shoonya_0sHI3Y4QM1SR92, 5652305]
[paragraph, [102.0, 1276.0, 1009.0, 36.0], shoonya_0sHI3Y4QM1SR92, 5652305]
[paragraph, [102.0, 1312.0, 1009.0, 36.0], shoonya_0sHI3Y4QM1SR92, 5652305]
[paragraph, [102.0, 1348.0, 1009.0, 36.0], shoonya_0sHI3Y4QM1SR92, 5652305]
[paragraph, [111.0, 1399.0, 998.0, 36.0], shoonya_4sVAD9CG68ZEI7, 5652305]
[paragraph, [111.0, 1435.0, 998.0, 36.0], shoonya_4sVAD9CG68ZEI7, 5652305]
[paragraph, [111.0, 1471.0, 998.0, 36.0], shoonya_4sVAD9CG68ZEI7, 5652305]
[paragraph, [111.0, 1507.0, 998.0, 36.0], shoonya_4sVAD9CG68ZEI7, 5652305]
[paragraph, [111.0, 1543.0, 998.0, 36.0], shoonya_4sVAD9CG68ZEI7, 5652305]
[paragraph, [158.0, 1598.0, 957.0, 36.0], FRRrJOkmDg, 5652305]
[footnote, [450.0, 1644.0, 229.0, 36.0], 2thCDs50oY, 5652305]
