[1260, 789]
[folio, [31.0, 26.0, 120.0, 18.0], M7ZqciqC2m, 5782325]
[folio, [31.0, 44.0, 120.0, 18.0], M7ZqciqC2m, 5782325]
[folio, [31.0, 62.0, 120.0, 18.0], M7ZqciqC2m, 5782325]
[chapter-title, [282.0, 49.0, 163.0, 30.0], vWJki4FxYu, 5782325]
[ordered-list, [20.0, 93.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 111.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 129.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 147.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 165.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 183.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 201.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 219.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 237.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 255.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 273.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 291.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 309.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 327.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 345.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 363.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 381.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 399.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 417.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 435.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 453.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 471.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 489.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 507.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 525.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 543.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 561.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 579.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 597.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 615.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 633.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 651.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 669.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 687.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 705.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 723.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 741.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 759.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 777.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 795.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 813.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 831.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 849.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 867.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 885.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 903.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 921.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 939.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 957.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 975.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 993.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1011.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1029.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1047.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1065.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1083.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1101.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1119.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1137.0, 731.0, 18.0], W7oVwksoxI, 5782325]
[ordered-list, [20.0, 1155.0, 731.0, 18.0], W7oVwksoxI, 5782325]
