[1755, 1240]
[folio, [643.0, 74.0, 478.0, 36.0], jj3LbFoUnv, 5743758]
[paragraph, [199.0, 205.0, 931.0, 36.0], shoonya_1sQV4MB911EDFD, 5743758]
[paragraph, [199.0, 241.0, 931.0, 36.0], shoonya_1sQV4MB911EDFD, 5743758]
[paragraph, [199.0, 277.0, 931.0, 36.0], shoonya_1sQV4MB911EDFD, 5743758]
[paragraph, [199.0, 313.0, 931.0, 36.0], shoonya_1sQV4MB911EDFD, 5743758]
[paragraph, [199.0, 349.0, 931.0, 36.0], shoonya_1sQV4MB911EDFD, 5743758]
[paragraph, [199.0, 385.0, 931.0, 36.0], shoonya_1sQV4MB911EDFD, 5743758]
[paragraph, [199.0, 421.0, 931.0, 36.0], shoonya_1sQV4MB911EDFD, 5743758]
[paragraph, [193.0, 468.0, 929.0, 36.0], CzZ9VF8ANf, 5743758]
[paragraph, [193.0, 504.0, 929.0, 36.0], CzZ9VF8ANf, 5743758]
[paragraph, [193.0, 540.0, 929.0, 36.0], CzZ9VF8ANf, 5743758]
[paragraph, [193.0, 576.0, 929.0, 36.0], CzZ9VF8ANf, 5743758]
[paragraph, [197.0, 675.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 711.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 747.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 783.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 819.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 855.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 891.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 927.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 963.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 999.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1035.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1071.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1107.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1143.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1179.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1215.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1251.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1287.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1323.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1359.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1395.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1431.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1467.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1503.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
[paragraph, [197.0, 1539.0, 926.0, 36.0], shoonya_2sNQE1J7IDQGIC, 5743758]
