[1818, 1374]
[folio, [575.0, 106.0, 219.0, 36.0], MsQwmyNseg, 5682694]
[paragraph, [103.0, 174.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 210.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 246.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 282.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 318.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 354.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 390.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 426.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 462.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 498.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 534.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 570.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 606.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 642.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 678.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 714.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 750.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 786.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 822.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 858.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 894.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [103.0, 930.0, 570.0, 36.0], i7mIYuS86U, 5682694]
[paragraph, [696.0, 178.0, 562.0, 36.0], shoonya_1sALZSNAXOIPSC, 5682694]
[paragraph, [696.0, 214.0, 562.0, 36.0], shoonya_1sALZSNAXOIPSC, 5682694]
[paragraph, [696.0, 250.0, 562.0, 36.0], shoonya_1sALZSNAXOIPSC, 5682694]
[paragraph, [696.0, 286.0, 562.0, 36.0], shoonya_1sALZSNAXOIPSC, 5682694]
[paragraph, [696.0, 322.0, 562.0, 36.0], shoonya_1sALZSNAXOIPSC, 5682694]
[paragraph, [694.0, 392.0, 567.0, 36.0], BiVZ6Sv1ho, 5682694]
[paragraph, [694.0, 428.0, 567.0, 36.0], BiVZ6Sv1ho, 5682694]
[paragraph, [694.0, 464.0, 567.0, 36.0], BiVZ6Sv1ho, 5682694]
[paragraph, [694.0, 500.0, 567.0, 36.0], BiVZ6Sv1ho, 5682694]
