[567, 454]
[chapter-title, [233.0, 120.0, 166.0, 30.0], shoonya_2sQAFB2CP4ZJZV, 6460914]
[paragraph, [214.0, 165.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 183.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 201.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 219.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 237.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 255.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 273.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 291.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 309.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 327.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 345.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 363.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 381.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 399.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 417.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 435.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 453.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[paragraph, [214.0, 471.0, 204.0, 18.0], shoonya_1sID607MNU9CMH, 6460914]
[figure-caption, [216.0, 505.0, 201.0, 18.0], shoonya_3s04BDNS7Z8F9H, 6460914]
[figure-caption, [216.0, 523.0, 201.0, 18.0], shoonya_3s04BDNS7Z8F9H, 6460914]
[figure-caption, [216.0, 541.0, 201.0, 18.0], shoonya_3s04BDNS7Z8F9H, 6460914]
