[2339, 1653]
[chapter-title, [546.0, 383.0, 565.0, 70.5], u4PDib-S_k, 5736031]
[paragraph, [236.0, 649.0, 1180.0, 36.0], shoonya_0sLMI7I1AO5BYQ, 5736031]
[paragraph, [236.0, 685.0, 1180.0, 36.0], shoonya_0sLMI7I1AO5BYQ, 5736031]
[paragraph, [236.0, 721.0, 1180.0, 36.0], shoonya_0sLMI7I1AO5BYQ, 5736031]
[paragraph, [236.0, 757.0, 1180.0, 36.0], shoonya_0sLMI7I1AO5BYQ, 5736031]
[paragraph, [236.0, 793.0, 1180.0, 36.0], shoonya_0sLMI7I1AO5BYQ, 5736031]
[paragraph, [236.0, 829.0, 1180.0, 36.0], shoonya_0sLMI7I1AO5BYQ, 5736031]
[paragraph, [233.0, 875.0, 1181.0, 36.0], kHugmghoSE, 5736031]
[paragraph, [233.0, 911.0, 1181.0, 36.0], kHugmghoSE, 5736031]
[paragraph, [233.0, 947.0, 1181.0, 36.0], kHugmghoSE, 5736031]
[paragraph, [233.0, 983.0, 1181.0, 36.0], kHugmghoSE, 5736031]
[paragraph, [233.0, 1019.0, 1181.0, 36.0], kHugmghoSE, 5736031]
[paragraph, [233.0, 1055.0, 1181.0, 36.0], kHugmghoSE, 5736031]
[paragraph, [233.0, 1097.0, 1183.0, 36.0], dv7gxqZ2hD, 5736031]
[paragraph, [233.0, 1133.0, 1183.0, 36.0], dv7gxqZ2hD, 5736031]
[paragraph, [233.0, 1169.0, 1183.0, 36.0], dv7gxqZ2hD, 5736031]
[paragraph, [233.0, 1205.0, 1183.0, 36.0], dv7gxqZ2hD, 5736031]
[paragraph, [231.0, 1270.0, 1191.0, 36.0], 9PY2MlDz5A, 5736031]
[paragraph, [231.0, 1306.0, 1191.0, 36.0], 9PY2MlDz5A, 5736031]
[folio, [1188.0, 1964.0, 162.0, 36.0], LGsGqPn-PZ, 5736031]
[folio, [239.0, 1966.0, 229.0, 36.0], shoonya_4sQLWDZJFFZ6LR, 5736031]
