[792, 612]
[paragraph, [74.0, 5.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 23.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 41.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 59.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 77.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 95.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 113.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 131.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 149.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 167.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 185.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 203.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 221.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 239.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 257.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 275.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 293.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [74.0, 311.0, 151.0, 18.0], shoonya_1sYE9F2B55TKRR, 6514745]
[paragraph, [232.0, 5.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 23.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 41.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 59.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 77.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 95.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 113.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 131.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 149.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 167.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [232.0, 185.0, 148.0, 18.0], shoonya_7sWJ9SXAFYW8CO, 6514745]
[paragraph, [386.0, 5.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 23.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 41.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 59.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 77.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 95.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 113.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 131.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 149.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 167.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 185.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 203.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 221.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 239.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 257.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [386.0, 275.0, 151.0, 18.0], shoonya_3sHK8SX65CSQF9, 6514745]
[paragraph, [231.0, 214.0, 149.0, 18.0], shoonya_5sT835WJ0HE6XB, 6514745]
[paragraph, [231.0, 232.0, 149.0, 18.0], shoonya_5sT835WJ0HE6XB, 6514745]
[paragraph, [231.0, 250.0, 149.0, 18.0], shoonya_5sT835WJ0HE6XB, 6514745]
[paragraph, [231.0, 268.0, 149.0, 18.0], shoonya_5sT835WJ0HE6XB, 6514745]
[paragraph, [231.0, 286.0, 149.0, 18.0], shoonya_5sT835WJ0HE6XB, 6514745]
[paragraph, [231.0, 304.0, 149.0, 18.0], shoonya_5sT835WJ0HE6XB, 6514745]
[paragraph, [231.0, 322.0, 149.0, 18.0], shoonya_5sT835WJ0HE6XB, 6514745]
