[873, 612]
[chapter-title, [220.0, 19.0, 130.0, 30.0], Iwi1b2dWot, 6460621]
[paragraph, [97.0, 70.0, 333.0, 18.0], CiFv7oDImt, 6460621]
[paragraph, [97.0, 88.0, 333.0, 18.0], CiFv7oDImt, 6460621]
[paragraph, [97.0, 106.0, 333.0, 18.0], CiFv7oDImt, 6460621]
[paragraph, [97.0, 124.0, 333.0, 18.0], CiFv7oDImt, 6460621]
[paragraph, [97.0, 142.0, 333.0, 18.0], CiFv7oDImt, 6460621]
[paragraph, [97.0, 160.0, 333.0, 18.0], CiFv7oDImt, 6460621]
[paragraph, [97.0, 178.0, 333.0, 18.0], CiFv7oDImt, 6460621]
[paragraph, [104.0, 227.0, 310.0, 18.0], shoonya_0sZ9X1HNTNHM34, 6460621]
[paragraph, [104.0, 245.0, 310.0, 18.0], shoonya_0sZ9X1HNTNHM34, 6460621]
[paragraph, [104.0, 263.0, 310.0, 18.0], shoonya_0sZ9X1HNTNHM34, 6460621]
[paragraph, [104.0, 281.0, 310.0, 18.0], shoonya_0sZ9X1HNTNHM34, 6460621]
[paragraph, [104.0, 299.0, 310.0, 18.0], shoonya_0sZ9X1HNTNHM34, 6460621]
[paragraph, [104.0, 317.0, 310.0, 18.0], shoonya_0sZ9X1HNTNHM34, 6460621]
[paragraph, [104.0, 335.0, 310.0, 18.0], shoonya_0sZ9X1HNTNHM34, 6460621]
[paragraph, [94.0, 382.0, 345.0, 18.0], qutsDwO-eD, 6460621]
[paragraph, [94.0, 400.0, 345.0, 18.0], qutsDwO-eD, 6460621]
[paragraph, [94.0, 418.0, 345.0, 18.0], qutsDwO-eD, 6460621]
[paragraph, [94.0, 436.0, 345.0, 18.0], qutsDwO-eD, 6460621]
[paragraph, [94.0, 454.0, 345.0, 18.0], qutsDwO-eD, 6460621]
[paragraph, [94.0, 472.0, 345.0, 18.0], qutsDwO-eD, 6460621]
[paragraph, [94.0, 490.0, 345.0, 18.0], qutsDwO-eD, 6460621]
[paragraph, [97.0, 536.0, 342.0, 18.0], Z6dwVGoDof, 6460621]
[paragraph, [97.0, 554.0, 342.0, 18.0], Z6dwVGoDof, 6460621]
[paragraph, [97.0, 572.0, 342.0, 18.0], Z6dwVGoDof, 6460621]
[paragraph, [97.0, 590.0, 342.0, 18.0], Z6dwVGoDof, 6460621]
[paragraph, [97.0, 608.0, 342.0, 18.0], Z6dwVGoDof, 6460621]
[paragraph, [97.0, 626.0, 342.0, 18.0], Z6dwVGoDof, 6460621]
[paragraph, [97.0, 644.0, 342.0, 18.0], Z6dwVGoDof, 6460621]
[paragraph, [97.0, 662.0, 342.0, 18.0], Z6dwVGoDof, 6460621]
[paragraph, [97.0, 685.0, 329.0, 18.0], 3NjWxmS7IS, 6460621]
[paragraph, [97.0, 703.0, 329.0, 18.0], 3NjWxmS7IS, 6460621]
[paragraph, [97.0, 721.0, 329.0, 18.0], 3NjWxmS7IS, 6460621]
[paragraph, [97.0, 739.0, 329.0, 18.0], 3NjWxmS7IS, 6460621]
[paragraph, [97.0, 757.0, 329.0, 18.0], 3NjWxmS7IS, 6460621]
[paragraph, [97.0, 775.0, 329.0, 18.0], 3NjWxmS7IS, 6460621]
[paragraph, [97.0, 793.0, 329.0, 18.0], 3NjWxmS7IS, 6460621]
[paragraph, [97.0, 811.0, 329.0, 18.0], 3NjWxmS7IS, 6460621]
