[567, 439]
[section-title, [103.0, 12.0, 229.0, 30.0], shoonya_0s3DDMSZA0F9DP, 6460129]
[paragraph, [236.0, 365.0, 166.0, 18.0], DzA5-ipni2, 6460129]
[paragraph, [236.0, 383.0, 166.0, 18.0], DzA5-ipni2, 6460129]
[paragraph, [236.0, 401.0, 166.0, 18.0], DzA5-ipni2, 6460129]
[paragraph, [236.0, 419.0, 166.0, 18.0], DzA5-ipni2, 6460129]
[paragraph, [236.0, 437.0, 166.0, 18.0], DzA5-ipni2, 6460129]
[paragraph, [236.0, 455.0, 166.0, 18.0], DzA5-ipni2, 6460129]
[paragraph, [37.0, 374.0, 178.0, 18.0], 2PA4j12jHx, 6460129]
[paragraph, [37.0, 392.0, 178.0, 18.0], 2PA4j12jHx, 6460129]
[paragraph, [37.0, 410.0, 178.0, 18.0], 2PA4j12jHx, 6460129]
[paragraph, [37.0, 444.0, 212.0, 18.0], EbazfQJc2j, 6460129]
[paragraph, [37.0, 462.0, 212.0, 18.0], EbazfQJc2j, 6460129]
[paragraph, [37.0, 480.0, 212.0, 18.0], EbazfQJc2j, 6460129]
[paragraph, [37.0, 498.0, 212.0, 18.0], EbazfQJc2j, 6460129]
[paragraph, [279.0, 483.0, 123.0, 18.0], 09dOpZx58a, 6460129]
[paragraph, [279.0, 501.0, 123.0, 18.0], 09dOpZx58a, 6460129]
