[612, 396]
[ordered-list, [41.0, 67.0, 102.0, 18.0], YHlwKk2xTm, 6515019]
[ordered-list, [41.0, 85.0, 102.0, 18.0], YHlwKk2xTm, 6515019]
[ordered-list, [41.0, 103.0, 102.0, 18.0], YHlwKk2xTm, 6515019]
[ordered-list, [41.0, 121.0, 102.0, 18.0], YHlwKk2xTm, 6515019]
[ordered-list, [41.0, 139.0, 102.0, 18.0], YHlwKk2xTm, 6515019]
[paragraph, [39.0, 161.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 179.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 197.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 215.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 233.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 251.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 269.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 287.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 305.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 323.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [39.0, 341.0, 319.0, 18.0], shoonya_0sSE39GCWFC7T6, 6515019]
[paragraph, [37.0, 388.0, 317.0, 18.0], aiC0cNyER3, 6515019]
[paragraph, [37.0, 406.0, 317.0, 18.0], aiC0cNyER3, 6515019]
[paragraph, [37.0, 424.0, 317.0, 18.0], aiC0cNyER3, 6515019]
[paragraph, [37.0, 442.0, 317.0, 18.0], aiC0cNyER3, 6515019]
[paragraph, [37.0, 460.0, 317.0, 18.0], aiC0cNyER3, 6515019]
[paragraph, [37.0, 478.0, 317.0, 18.0], aiC0cNyER3, 6515019]
[paragraph, [37.0, 496.0, 317.0, 18.0], aiC0cNyER3, 6515019]
[paragraph, [37.0, 514.0, 317.0, 18.0], aiC0cNyER3, 6515019]
[paragraph, [37.0, 532.0, 317.0, 18.0], aiC0cNyER3, 6515019]
