[2241, 1717]
[paragraph, [53.0, 203.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 239.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 275.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 311.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 347.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 383.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 419.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 455.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 491.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 527.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 563.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 599.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 635.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 671.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 707.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [53.0, 743.0, 745.0, 36.0], shoonya_0s9DDE6L8DHIY3, 5654085]
[paragraph, [837.0, 211.0, 739.0, 36.0], shoonya_2sKK40HQDV4RUL, 5654085]
[paragraph, [837.0, 247.0, 739.0, 36.0], shoonya_2sKK40HQDV4RUL, 5654085]
[paragraph, [837.0, 283.0, 739.0, 36.0], shoonya_2sKK40HQDV4RUL, 5654085]
[paragraph, [837.0, 319.0, 739.0, 36.0], shoonya_2sKK40HQDV4RUL, 5654085]
[paragraph, [837.0, 355.0, 739.0, 36.0], shoonya_2sKK40HQDV4RUL, 5654085]
[paragraph, [837.0, 391.0, 739.0, 36.0], shoonya_2sKK40HQDV4RUL, 5654085]
[paragraph, [837.0, 427.0, 739.0, 36.0], shoonya_2sKK40HQDV4RUL, 5654085]
[paragraph, [837.0, 463.0, 739.0, 36.0], shoonya_2sKK40HQDV4RUL, 5654085]
[paragraph, [835.0, 531.0, 731.0, 36.0], shoonya_4sSD40QKV3QMQ5, 5654085]
[paragraph, [835.0, 567.0, 731.0, 36.0], shoonya_4sSD40QKV3QMQ5, 5654085]
[paragraph, [835.0, 603.0, 731.0, 36.0], shoonya_4sSD40QKV3QMQ5, 5654085]
[paragraph, [835.0, 639.0, 731.0, 36.0], shoonya_4sSD40QKV3QMQ5, 5654085]
[paragraph, [835.0, 675.0, 731.0, 36.0], shoonya_4sSD40QKV3QMQ5, 5654085]
[paragraph, [835.0, 711.0, 731.0, 36.0], shoonya_4sSD40QKV3QMQ5, 5654085]
[paragraph, [919.0, 751.0, 641.0, 36.0], shoonya_9sCFSDKJOOZ2HZ, 5654085]
[paragraph, [63.0, 791.0, 665.0, 36.0], shoonya_11sD9JTD8QA6PB, 5654085]
[paragraph, [63.0, 827.0, 665.0, 36.0], shoonya_11sD9JTD8QA6PB, 5654085]
[paragraph, [991.0, 800.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 836.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 872.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 908.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 944.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 980.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1016.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1052.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1088.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1124.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1160.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1196.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1232.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1268.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [991.0, 1304.0, 566.0, 36.0], shoonya_5sGFY00F4R26OD, 5654085]
[paragraph, [52.0, 885.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 921.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 957.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 993.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 1029.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 1065.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 1101.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 1137.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 1173.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 1209.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 1245.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [52.0, 1281.0, 564.0, 36.0], shoonya_8sG3DTXZ8054TF, 5654085]
[paragraph, [51.0, 1327.0, 734.0, 36.0], shoonya_7sXDHIUQ11UCFB, 5654085]
[paragraph, [51.0, 1363.0, 734.0, 36.0], shoonya_7sXDHIUQ11UCFB, 5654085]
[paragraph, [51.0, 1399.0, 734.0, 36.0], shoonya_7sXDHIUQ11UCFB, 5654085]
[paragraph, [51.0, 1435.0, 734.0, 36.0], shoonya_7sXDHIUQ11UCFB, 5654085]
[paragraph, [51.0, 1471.0, 734.0, 36.0], shoonya_7sXDHIUQ11UCFB, 5654085]
[paragraph, [51.0, 1507.0, 734.0, 36.0], shoonya_7sXDHIUQ11UCFB, 5654085]
[paragraph, [817.0, 1403.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1439.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1475.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1511.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1547.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1583.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1619.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1655.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1691.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1727.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1763.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1799.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1835.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1871.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1907.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
[paragraph, [817.0, 1943.0, 747.0, 36.0], shoonya_1sSEN4P221T2FU, 5654085]
