[1241, 827]
[folio, [379.0, 51.0, 301.0, 18.0], 8qncU1Xu8K, 6477722]
[paragraph, [110.0, 145.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 163.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 181.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 199.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 217.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 235.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 253.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 271.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 289.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 307.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 325.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [110.0, 343.0, 639.0, 18.0], shoonya_0sKDFVOUOK3ZWL, 6477722]
[paragraph, [112.0, 381.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 399.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 417.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 435.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 453.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 471.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 489.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 507.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 525.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[paragraph, [112.0, 543.0, 640.0, 18.0], shoonya_1s58A4Z2LZHA7G, 6477722]
[section-title, [114.0, 599.0, 365.0, 30.0], 5SLM3toFj6, 6477722]
[paragraph, [110.0, 638.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 656.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 674.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 692.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 710.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 728.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 746.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 764.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 782.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [110.0, 800.0, 641.0, 18.0], shoonya_3sW7PXAUM8LG76, 6477722]
[paragraph, [111.0, 844.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 862.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 880.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 898.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 916.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 934.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 952.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 970.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 988.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 1006.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 1024.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 1042.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 1060.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 1078.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
[paragraph, [111.0, 1096.0, 639.0, 18.0], Hj-zF3TwKX, 6477722]
